index,회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
13858,엘티씨(주),170920.0,202012.0,201310.0,,0,0,0,1.84,2.9576433572295184
13859,엠케이전자(주),33160.0,201112.0,199711.0,,0,0,0,2.71,1.5247174259831766
13860,엠케이전자(주),33160.0,201212.0,199711.0,,0,0,0,2.76,-6.11429234454266
13861,엠케이전자(주),33160.0,201312.0,199711.0,,0,0,0,1.78,-19.550192185384667
13862,엠케이전자(주),33160.0,201412.0,199711.0,,0,0,0,1.13,-17.344346616003783
13863,엠케이전자(주),33160.0,201512.0,199711.0,,0,0,0,2.91,-3.5102296900965926
13864,엠케이전자(주),33160.0,201612.0,199711.0,,0,0,0,14.67,36.745275828038864
13865,엠케이전자(주),33160.0,201712.0,199711.0,,0,0,0,17.61,10.740756822177062
13866,엠케이전자(주),33160.0,201812.0,199711.0,,0,0,0,14.37,2.961950611326221
13867,엠케이전자(주),33160.0,201912.0,199711.0,,0,0,0,9.83,3.5586370787231862
13868,엠케이전자(주),33160.0,202012.0,199711.0,,0,0,0,8.99,19.702205863986045
13869,엠텍비젼(주),74000.0,201112.0,200401.0,2014/03/27,0,1,1,-7.96,-58.642944307970026
13870,엠텍비젼(주),74000.0,201212.0,200401.0,2014/03/27,1,1,1,-1.42,-38.43418955798722
13871,엠텍비젼(주),74000.0,201312.0,200401.0,2014/03/27,1,1,1,-0.86,-34.437417115273675
13872,영보화학(주),14440.0,201112.0,199708.0,,0,0,0,6.29,26.367930567709703
13873,영보화학(주),14440.0,201212.0,199708.0,,0,0,0,5.13,5.420723286811184
13874,영보화학(주),14440.0,201312.0,199708.0,,0,0,0,8.43,18.877425158974496
13875,영보화학(주),14440.0,201412.0,199708.0,,0,0,0,4.82,-3.910357357268663
13876,영보화학(주),14440.0,201512.0,199708.0,,0,0,0,11.51,-0.0507101066435435
13877,영보화학(주),14440.0,201612.0,199708.0,,0,0,0,22.44,0.2869376661264309
13878,영보화학(주),14440.0,201712.0,199708.0,,0,0,0,41.96,4.318252240787337
13879,영보화학(주),14440.0,201812.0,199708.0,,0,0,0,53.74,-12.576250167486076
13880,영보화학(주),14440.0,201912.0,199708.0,,0,0,0,36.37,-8.838043435957928
13881,영보화학(주),14440.0,202012.0,199708.0,,0,0,0,12.78,-18.161760000307325
13882,영신금속공업(주),7530.0,201112.0,199408.0,,0,0,0,1.56,27.463995446113337
13883,영신금속공업(주),7530.0,201212.0,199408.0,,0,0,0,1.1,7.0758030639585
13884,영신금속공업(주),7530.0,201312.0,199408.0,,0,0,0,2.34,-0.0679946903470287
13885,영신금속공업(주),7530.0,201412.0,199408.0,,0,0,0,1.96,-0.9176330001533686
13886,영신금속공업(주),7530.0,201512.0,199408.0,,0,0,0,2.33,1.4663700779379614
13887,영신금속공업(주),7530.0,201612.0,199408.0,,0,0,0,0.2,5.1799794495273925
13888,영신금속공업(주),7530.0,201712.0,199408.0,,0,0,0,-2.79,0.445163781141806
13889,영신금속공업(주),7530.0,201812.0,199408.0,,0,0,0,1.04,-0.2541401868139971
13890,영신금속공업(주),7530.0,201912.0,199408.0,,0,0,0,2.5,1.9613611294813889
13891,영신금속공업(주),7530.0,202012.0,199408.0,,0,0,0,0.73,-7.68656482278218
13892,영진약품(주),3520.0,201112.0,197306.0,,0,0,0,3.9,-3.621053567312678
