회사명,거래소코드,회계년도,상장일,상장폐지일,부실기업1,부실기업2,부실기업,이자보상배율,매출액증가율
(주)SIMPAC,9160.0,201212.0,198907.0,,0,0,0,15.51,4.637518480949174
(주)SIMPAC,9160.0,201312.0,198907.0,,0,0,0,16.58,-8.698414965892603
(주)SIMPAC,9160.0,201412.0,198907.0,,0,0,0,8.48,27.89831740141783
(주)SIMPAC,9160.0,201512.0,198907.0,,0,0,0,14.66,2.4228459611504616
(주)SIMPAC,9160.0,201612.0,198907.0,,0,0,0,16.75,-0.9104366351674328
(주)SIMPAC,9160.0,201712.0,198907.0,,0,0,0,10.1,-13.643904953499131
(주)SIMPAC,9160.0,201812.0,198907.0,,0,0,0,4.07,32.74267069448302
(주)SIMPAC,9160.0,201912.0,198907.0,,0,0,0,3.47,40.48147166581552
(주)SIMPAC,9160.0,202012.0,198907.0,,0,0,0,2.64,-14.932358675512736
(주)SNT에너지,100840.0,201112.0,200802.0,,0,0,0,-9.21,-8.657168282499395
(주)SNT에너지,100840.0,201212.0,200802.0,,0,0,0,77.44,18.118494790466784
(주)SNT에너지,100840.0,201312.0,200802.0,,0,0,0,50.81,-12.984654460657389
(주)SNT에너지,100840.0,201412.0,200802.0,,0,0,0,41.09,20.919401321589536
(주)SNT에너지,100840.0,201512.0,200802.0,,0,0,0,359.1,7.14619130359356
(주)SNT에너지,100840.0,201612.0,200802.0,,0,0,0,389.0242857142857,-2.308449238043877
(주)SNT에너지,100840.0,201712.0,200802.0,,0,1,1,389.0242857142857,-27.54850127733921
(주)SNT에너지,100840.0,201812.0,200802.0,,0,1,1,389.0242857142857,-24.21374221452221
(주)SNT에너지,100840.0,201912.0,200802.0,,0,1,1,1771.27,52.90441275446938
(주)SNT에너지,100840.0,202012.0,200802.0,,0,1,1,432.67,11.284572941882583
(주)SNT홀딩스,36530.0,201112.0,200210.0,,0,0,0,16.87,11.026295033176014
(주)SNT홀딩스,36530.0,201212.0,200210.0,,0,0,0,20.28,0.2947291280819298
(주)SNT홀딩스,36530.0,201312.0,200210.0,,0,0,0,30.38,-5.535966760421159
(주)SNT홀딩스,36530.0,201412.0,200210.0,,0,0,0,34.38,-1.5220843697365416
(주)SNT홀딩스,36530.0,201512.0,200210.0,,0,0,0,218.55,3.8890171862271257
(주)SNT홀딩스,36530.0,201612.0,200210.0,,0,0,0,286.46,-4.653343475689235
(주)SNT홀딩스,36530.0,201712.0,200210.0,,0,0,0,178.66,-1.9215801336837248
(주)SNT홀딩스,36530.0,201812.0,200210.0,,0,0,0,59.79,-7.084474286974651
(주)SNT홀딩스,36530.0,201912.0,200210.0,,0,0,0,184.05,7.907406791395409
(주)SNT홀딩스,36530.0,202012.0,200210.0,,0,0,0,152.96,-5.049873056410908
(주)STX,11810.0,201112.0,199009.0,,0,0,0,1.66,-69.56399239614845
(주)STX,11810.0,201212.0,199009.0,,0,0,0,-3.12,3.219816140252335
(주)STX,11810.0,201312.0,199009.0,,1,1,1,-10.71,-60.23602847471935
(주)STX,11810.0,201412.0,199009.0,,1,1,1,0.76,-33.265071746112625
(주)STX,11810.0,201512.0,199009.0,,1,1,1,-0.84,-0.2311872096395094
(주)STX,11810.0,201612.0,199009.0,,1,1,1,-0.91,5.477343703532012
(주)STX,11810.0,201712.0,199009.0,,1,1,1,2.02,4.86729959486162
(주)STX,11810.0,201812.0,199009.0,,1,1,1,-1.12,-16.680340909972845
(주)STX,11810.0,201912.0,199009.0,,1,1,1,0.11,-2.11718679827144
(주)STX,11810.0,202012.0,199009.0,,1,1,1,-0.04,-33.68740670652626
(주)TCC스틸,2710.0,201112.0,198412.0,,0,0,0,1.41,16.2723050668379
(주)TCC스틸,2710.0,201212.0,198412.0,,0,0,0,0.57,-2.5439261982550843
(주)TCC스틸,2710.0,201312.0,198412.0,,1,0,1,-0.59,-0.1006748996771087
(주)TCC스틸,2710.0,201412.0,198412.0,,1,0,1,0.02,3.626457306344624
(주)TCC스틸,2710.0,201512.0,198412.0,,1,0,1,2.17,-4.470054291827416
(주)TCC스틸,2710.0,201612.0,198412.0,,1,0,1,2.53,-10.355519076115904
(주)TCC스틸,2710.0,201712.0,198412.0,,1,0,1,1.55,-11.943550197311357
(주)TCC스틸,2710.0,201812.0,198412.0,,1,0,1,3.3,5.571756106493697
(주)TCC스틸,2710.0,201912.0,198412.0,,1,0,1,2.27,5.808083430655999
(주)TCC스틸,2710.0,202012.0,198412.0,,1,0,1,0.16,-1.229714302570605
(주)가비아,79940.0,201112.0,200510.0,,0,0,0,22.28,29.67804842612279
(주)가비아,79940.0,201212.0,200510.0,,0,0,0,15.43,30.695739408780625
(주)가비아,79940.0,201312.0,200510.0,,0,0,0,15.81,2.342114783739337
(주)가비아,79940.0,201412.0,200510.0,,0,0,0,24.59,13.804604179676527
(주)가비아,79940.0,201512.0,200510.0,,0,0,0,64.83,13.945405368086677
(주)가비아,79940.0,201612.0,200510.0,,0,0,0,83.64,11.489922892675898
(주)가비아,79940.0,201712.0,200510.0,,0,0,0,53.72,13.739580562256162
