회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,부가가치율,종업원1인당부가가치율_계산,자기자본회전률,타인자본회전률,시장구분
(주)휴먼엔,032860,201212,199707,,0,0,0,"수도, 하수 및 폐기물 처리, 원료 재생업",0,-8.789831964,-15.48246254,10.41503778,-30.12,-134.7067105,-2.26,2.7,-561.8164899,80.22,38.89,388.92,-16.76,-7.87,-2.66,-1.55,-57.49163265,6.550720162,2.05,KOSDAQ
(주)아나패스,123860,201912,201011,,1,0,1,제조업,1,33.72695575,-20.31033591,18.13022777,0.0,-194.5397087,-10.89,-1.14,-2192.986562,308.41,261.11,125.51,-13.31,-13.66,-3.59,-5.86,-75.62221774,0.977415885,1.31,KOSDAQ
(주)휴엠앤씨,263920,201912,201709,,1,0,1,제조업,1,78.27578096,102.2875763,6.736871161,-21.71,108.7404954,1.38,5.3,-536.3747125,391.72,329.19,41.53,-8.58,-8.91,3.31,11.71,7.82350365,1.065225008,1.36,KOSDAQ
휴림로봇(주),090710,201312,200612,,1,0,1,제조업,1,-8.679882704,-20.84163155,36.44554802,-1.96,22.85709689,-7.05,2.15,-621.2084812,113.97,82.35,136.4,2.54,1.55,16.06,16.97,40.33273333,1.281265215,1.66,KOSDAQ
상신이디피(주),091580,201212,200705,,0,0,0,제조업,1,7.493023693,1.022566667,-6.404850239,-2.36,-63.94687602,3.81,1.16,45.75526447,77.85,44.91,116.22,19.53,8.15,31.26,24.26,95.69956522,3.006540597,2.55,KOSDAQ
(주)머큐리,100590,202012,201812,,0,0,0,제조업,1,19.99267196,12.97043396,6.089472203,-2.11,59.56089756,2.9,0.41,556.1226259,219.84,184.75,57.27,1.76,0.69,23.7,25.37,160.671828,1.558867127,2.94,KOSDAQ
효성티앤씨(주),298020,201912,201807,,0,0,0,제조업,1,2.72273187,19.7272813,78.11824145,0.0,158.2229095,10.15,1.23,16360.35769,70.87,45.6,388.92,8.81,3.89,22.95,12.37,137.4675862,6.089226764,2.26,KOSPI
우양에이치씨(주),101970,201212,201207,42080.0,0,0,0,제조업,1,35.52379922,73.66853938,20.61513934,0.0,28.20939074,7.62,3.85,395.3811269,97.03,91.46,260.08,2.99,3.37,13.98,21.83,132.3037725,3.121423215,0.99,KOSDAQ
삼양식품(주),003230,201812,197506,,0,0,0,제조업,1,3.506064589,15.41740063,2.371267853,-1.48,27.36986948,13.62,0.11,4686.64021,93.52,76.59,75.81,22.95,8.69,35.47,31.15,90.32602451,2.408958722,2.52,KOSPI
진양폴리우레탄(주),010640,201112,198909,,0,0,0,제조업,1,77.97827934,82.24862102,1.239406888,10.0,-7.532787229,10.21,0.34,153.1724,167.43,133.87,42.56,15.47,5.08,20.54,22.59,92.08509091,1.084934066,3.05,KOSPI
시그네틱스(주),033170,201912,201011,,1,0,1,제조업,1,-8.742908019,-7.376988689,-12.57115241,-12.35,-173.3055742,-10.25,0.22,-267.6971305,169.78,117.57,34.01,33.77,7.16,5.45,4.56,60.46267606,1.588872568,4.4,KOSDAQ
(주)더 미동,161570,201712,201311,,1,0,1,제조업,1,-11.96461349,-10.05666397,-2.477382349,-30.12,38.31843714,-7.67,-2.91,-259.734236,1062.09,940.6,8.48,-19.54,-13.66,-3.29,-5.5,89.24928571,0.600284262,8.17,KOSDAQ
(주)코메론,049430,201812,200101,,0,0,0,제조업,1,2.444650321,7.606743182,0.431897108,5.05,-15.71839266,8.82,-1.97,1352.918324,1062.09,897.61,11.0,86.29,17.72,19.46,40.35,193.6448077,0.590402825,4.05,KOSDAQ
(주)동양건설산업,005900,201112,197408,41754.0,0,1,1,건설업,1,-22.36308992,-31.51271657,-38.67458151,-30.12,-374.2097941,-10.89,5.3,-2238.020276,97.65,92.11,388.92,9.81,12.45,-3.59,-5.86,-75.62221774,6.550720162,0.58,KOSPI
한국쉘석유(주),002960,201612,198808,,0,0,0,제조업,1,-2.820753807,0.480869952,-5.770384632,-6.78,-10.23005058,20.54,-0.33,16360.35769,411.17,334.42,26.36,121.58,16.09,39.54,23.05,441.9895455,2.388187327,7.62,KOSPI
(주)디아이씨,092200,202012,200710,,1,0,1,제조업,1,-22.36308992,-31.51271657,-8.252323105,-3.58,-121.6872142,-10.25,3.69,-2238.020276,51.15,33.02,388.92,17.88,19.35,2.0,2.45,-43.8915522,3.843027009,0.88,KOSPI
(주)한진,002320,201712,197408,,1,0,1,운수 및 창고업,0,-3.300366725,12.84743199,2.708502683,-29.71,171.0608411,0.86,3.21,-2238.020276,71.89,70.82,182.3,2.3,2.01,16.83,22.78,214.6415853,2.345636014,1.08,KOSPI
(주)위메이드플레이,123420,201412,201011,,0,0,0,정보통신업,0,78.27578096,102.2875763,82.96258463,32.73,252.0748348,20.54,-0.84,1497.459403,457.67,457.67,28.51,121.58,28.6,50.49,47.2,685.3952381,1.130495863,5.93,KOSDAQ
