회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,부가가치율,종업원1인당부가가치율_계산,자기자본회전률,타인자본회전률,시장구분
(주)대호에이엘,069460,201312,200211,,1,0,1,제조업,1,-11.94411033,4.876967624,-7.924354849,-0.57,-66.09607888,1.13,2.69,-94.07242107,92.39,46.18,277.25,11.39,7.62,14.74,13.42,85.53514286,4.241624853,1.36,KOSPI
(주)에이치알에스,036640,201712,200005,,0,0,0,제조업,1,5.933379748,7.597047658,19.87759606,-2.65,73.02025492,7.65,0.37,384.4654169,715.92,552.43,28.15,12.51,4.18,17.97,27.35,115.7353061,0.872714788,3.0,KOSDAQ
(주)더존비즈온,012510,201212,198810,,0,0,0,정보통신업,0,14.85414517,27.08105096,8.002868324,-2.63,69.93355668,13.38,2.8,573.8947585,169.32,163.34,134.02,22.23,19.6,37.39,57.54,104.3864358,1.701754166,1.17,KOSPI
화성밸브(주),039610,201912,200003,,0,0,0,제조업,1,10.59063266,15.76402234,2.852338545,2.78,-8.955798835,3.74,0.13,281.7620841,473.34,242.88,31.94,11.73,4.0,14.25,20.08,61.59918919,1.054039569,2.89,KOSDAQ
(주)한국코퍼레이션,050540,201312,200512,,0,0,0,임대업,1,9.132719016,-24.24588607,-6.277551706,-8.42,-36.75426159,2.39,0.42,-641.0577547,51.15,44.43,114.27,3.48,1.21,50.49,65.0,24.68363309,2.740096946,2.88,KOSDAQ
(주)파워로직스,047310,201112,200307,,0,0,0,제조업,1,-11.08245974,-3.441459355,-14.33648489,-14.89,-415.277778,-5.61,1.04,-737.3956817,94.86,66.01,236.96,-2.85,-1.37,7.54,5.16,-40.5033,2.326696766,2.09,KOSDAQ
효성화학(주),298000,201912,201807,,0,0,0,제조업,1,24.81580361,23.81500828,62.29545174,0.0,136.7687205,8.28,2.0,16360.35769,103.42,73.85,353.81,7.46,6.62,19.37,22.06,344.5574678,6.550720162,1.25,KOSPI
(주)주연테크,044380,201112,200611,,1,1,1,제조업,1,-19.59260961,-27.14446455,-38.67458151,0.77,-432.3986363,-10.89,-1.25,-215.784662,492.13,415.34,28.88,6.45,0.85,-3.59,-5.86,-40.8121374,1.369045167,8.17,KOSPI
삼아제약(주),009300,201712,200007,,0,0,0,제조업,1,3.508098279,4.826518212,-6.198347459,-0.65,-20.52878069,4.61,-2.7,910.8167975,897.8,762.96,8.48,65.87,12.64,18.16,49.35,99.33514658,0.455895453,4.9,KOSDAQ
(주)대명소노시즌,007720,201112,199401,,0,1,1,도매 및 소매업,1,-7.391041626,-10.96854997,-38.67458151,44.64,-217.8527926,-9.81,-2.77,-77.1730262,499.49,481.51,20.87,-2.32,-1.82,-3.18,-5.86,-75.62221774,0.348038399,1.26,KOSDAQ
에코캡(주),128540,202012,201812,,0,0,0,제조업,1,-3.899841732,-16.15472115,8.543924405,-1.97,-432.3986363,-5.74,1.04,-762.5221859,144.59,102.5,107.78,-3.24,-2.68,10.89,17.32,32.76497992,1.00927234,1.28,KOSDAQ
네이버(주),035420,201612,200811,,0,0,0,정보통신업,0,45.25220074,81.95443905,23.72916769,12.35,44.58605496,20.49,-0.93,16360.35769,232.82,232.25,54.27,45.08,25.11,35.89,56.83,461.3718789,1.598799956,1.85,KOSPI
엑스큐어(주),070300,201112,201006,,0,1,1,정보통신업,0,61.05544266,81.32445947,52.20132129,21.57,594.6717064,20.54,-1.71,798.1717378,685.44,618.23,19.57,70.07,11.66,33.43,33.98,142.6174194,1.734919628,6.04,KOSDAQ
(주)유테크,178780,201712,201506,,1,0,1,도매 및 소매업,1,28.44320368,-31.51271657,12.83662028,-17.11,14.29912097,-10.89,4.53,-1678.512735,67.66,59.47,388.92,-7.7,-13.66,-3.59,-5.86,-75.62221774,0.892346687,0.62,KOSDAQ
(주)엘아이에스,138690,201312,201106,,1,0,1,제조업,1,3.660647285,-8.670184879,82.96258463,11.32,80.02492066,-6.76,0.91,-470.1355225,103.39,80.88,125.63,-0.95,-0.59,17.99,20.06,36.955,1.932486929,1.73,KOSDAQ
(주)국순당,043650,201612,200008,,1,0,1,제조업,1,-1.654338279,-2.093502047,-9.996830706,-8.04,20.85798679,-3.02,-1.44,-154.588476,790.47,652.43,9.79,-19.54,-6.36,8.63,26.38,47.00394822,0.355450121,3.73,KOSDAQ
(주)아이오케이컴퍼니,078860,201112,200606,,0,0,0,정보통신업,0,-10.03094153,102.2875763,-12.69250553,-30.12,594.6717064,9.07,2.53,-8.243879395,208.76,208.76,96.41,-19.54,-13.66,50.49,59.57,98.31890625,2.447118517,1.74,KOSDAQ
(주)와이지플러스,037270,201112,200308,,0,0,0,정보통신업,0,26.78204409,34.31593983,16.99464355,7.41,594.6717064,0.46,-1.65,102.9258947,178.6,178.6,47.11,-19.54,-13.66,18.22,31.39,94.00844828,0.604733331,1.58,KOSPI
하이트진로(주),000080,201612,200910,,0,0,0,제조업,1,-1.716443462,-2.468428282,-0.904228885,0.63,-7.449551981,3.61,2.11,539.4707077,67.93,58.68,163.26,11.59,12.93,17.47,31.43,162.4272806,1.438235872,0.89,KOSPI
(주)동양,001520,201112,197606,,1,0,1,제조업,1,2.165076981,58.42777093,2.914681366,39.16,49.43070138,-0.73,5.3,-367.5606233,51.15,33.02,388.92,-4.74,-10.41,9.84,23.96,95.16655455,4.218134826,0.58,KOSPI
(주)제이웨이,058420,201112,200201,,1,1,1,정보통신업,0,-22.36308992,-1.240987421,-20.83152846,9.26,-139.1205996,-10.89,0.2,-258.6707321,103.92,103.92,23.78,102.82,16.52,5.17,4.33,12.5179661,0.828457539,3.8,KOSDAQ
(주)캠시스,050110,201312,200105,,0,0,0,제조업,1,42.00453916,19.71643819,48.58448094,35.25,400.5294552,13.51,0.75,244.272506,125.02,81.69,156.76,2.63,0.95,25.51,15.1,144.9607273,3.363224947,3.42,KOSDAQ
(주)스카이문스테크놀로지,033790,201212,200106,,1,1,1,제조업,1,-7.786620413,-8.362125607,-38.67458151,-15.38,-358.1124348,-10.74,-2.91,-200.7087649,744.0,700.38,12.12,6.42,1.33,-3.43,-5.86,-20.93431818,0.558846517,4.75,KOSDAQ
신세계건설(주),034300,201712,200206,,0,0,0,건설업,1,-7.611005537,24.77988015,-25.9881151,3.49,-52.38733023,3.5,-0.13,7255.5605,64.17,51.49,324.96,-4.02,-1.96,20.43,13.02,194.9746414,6.550720162,1.89,KOSPI
에스엘(주),005850,202012,198811,,0,0,0,제조업,1,2.873399928,3.369098243,10.73306314,7.13,113.6714145,4.04,0.07,1331.92345,186.08,154.41,64.12,6.66,2.43,31.39,29.31,125.5606545,1.883972679,2.77,KOSPI
(주)이랜텍,054210,201712,200205,,0,0,0,제조업,1,-2.677788313,-6.006967177,-2.158766404,-9.12,-82.1865123,0.8,0.87,-71.39756285,90.39,62.38,177.02,8.62,3.97,20.51,14.79,25.4983737,4.121592919,2.16,KOSDAQ
(주)휴온스글로벌,084110,201712,200612,,0,0,0,제조업,1,8.227004686,8.3420201,82.96258463,34.92,109.9378892,10.46,0.14,4923.386138,250.36,198.89,22.6,30.1,10.28,24.5,45.41,227.0611765,0.472319241,3.04,KOSDAQ
(주)율호,072770,201512,200707,,0,0,0,정보통신업,0,-14.27596579,-8.664595661,-14.13947306,-3.39,-148.0415148,-1.26,-0.14,10.16202015,167.0,159.24,84.18,-1.28,-0.39,12.03,8.02,30.81649123,2.905682879,2.92,KOSDAQ
동부건설(주),005960,201112,197810,,1,0,1,건설업,1,11.00802672,-31.51271657,2.115938244,-30.12,-272.809458,-4.72,3.28,-2238.020276,77.41,74.21,388.92,4.0,3.66,9.7,10.61,23.91137638,1.361631716,1.16,KOSPI
(주)유니온,000910,201312,199607,,0,0,0,제조업,1,5.012619983,6.294473565,-8.878988135,-5.95,-3.862760706,1.65,-0.12,-248.2048146,198.76,120.66,33.9,14.39,8.78,6.35,15.29,87.36261603,0.595550794,1.65,KOSPI
(주)성안,011300,201312,199511,,1,0,1,제조업,1,-3.339206951,3.377034244,-3.276289506,-2.7,-60.97085978,1.11,2.33,75.95041389,103.58,62.36,166.22,8.01,5.48,18.43,20.2,72.00877778,2.468526793,1.41,KOSPI
(주)유니드코리아,110500,201312,201106,41884.0,0,0,0,제조업,1,-22.36308992,-31.51271657,2.444853918,-2.44,-74.17802522,-10.89,4.34,-1938.562535,56.78,55.86,388.92,-12.27,-13.22,-3.59,-5.86,-75.62221774,1.241448747,0.77,KOSDAQ
한국내화(주),010040,201712,200010,,0,0,0,제조업,1,4.793292015,14.02596294,4.655433993,2.54,12.35811041,5.13,0.56,509.2934054,113.58,42.73,74.9,-0.06,-0.02,25.03,19.94,83.45956656,2.467156683,2.85,KOSPI
(주)신진에스엠,138070,201512,201111,,0,0,0,제조업,1,5.154979455,3.607919775,20.11245633,8.2,4.087830235,6.21,0.69,448.7702714,227.56,124.7,49.44,12.81,7.41,20.66,36.11,104.9055051,0.870352264,1.8,KOSDAQ
씨비아이(주),013720,201712,199312,,1,0,1,제조업,1,-7.013754546,0.528629973,6.196678244,-14.04,-313.9078457,-0.62,0.99,-68.62045655,196.62,112.17,67.11,12.78,7.88,21.64,33.23,75.29040816,1.082596103,1.48,KOSDAQ
(주)아난티,025980,201112,199601,,0,0,0,숙박 및 음식점업,1,-0.079377905,-0.164891766,-38.67458151,-5.56,-158.9248186,-2.5,2.06,-513.3790695,173.82,131.84,388.92,14.32,28.6,2.32,23.88,26.78197861,0.624134038,0.58,KOSDAQ
(주)두산,000150,201912,197306,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.002293536,-4.555699254,2.000704765,-15.29,3.781498603,4.35,2.89,16360.35769,68.17,51.63,327.74,4.04,4.87,13.38,21.06,174.9211246,2.654677866,0.84,KOSPI
태림포장(주),011280,201812,198812,,0,0,0,제조업,1,-4.163813489,8.080271009,7.595137284,-0.29,594.6717064,5.76,0.91,405.0034926,66.48,54.97,79.71,18.43,8.15,18.7,18.64,81.17717973,1.80854877,2.06,KOSPI
(주)알루코,001780,201412,200706,,0,0,0,제조업,1,-2.023326865,-0.315775512,1.550966452,-2.28,-4.155419053,4.28,3.25,165.0722662,104.36,73.01,216.32,18.03,13.96,20.29,22.97,184.3181323,2.789384613,1.27,KOSPI
(주)유성티엔에스,024800,201712,199912,,0,0,0,운수 및 창고업,0,6.369499265,16.65048256,-1.623500224,-13.45,-18.74146102,3.68,0.85,529.3457556,90.15,87.66,117.11,11.52,5.27,16.93,14.35,85.15193784,3.133028143,2.18,KOSDAQ
(주)윌링스,313760,202012,201907,,0,0,0,제조업,1,-9.371118468,-0.081509605,47.50762375,14.63,-103.1643893,-0.24,0.22,65.88584944,473.66,327.86,21.97,-19.54,-4.51,15.61,10.9,73.32670213,1.183035478,6.19,KOSDAQ
이원컴포텍(주),088290,201112,200912,,0,0,0,제조업,1,7.380466182,7.004385751,11.19352679,13.51,-32.57437163,3.36,-1.32,77.53061974,179.59,156.79,62.46,20.77,6.35,25.03,19.9,66.85642857,0.574887944,3.37,KOSDAQ
대한유화(주),006650,201412,199908,,0,0,0,제조업,1,6.340901214,6.649949812,4.447850863,-1.44,289.5257141,5.0,0.23,9822.895077,175.12,104.1,71.05,12.72,3.71,14.16,9.93,261.3924634,2.56094577,3.53,KOSPI
(주)엔피케이,048830,201412,200010,,0,0,0,제조업,1,26.96780432,33.58875544,-7.081344481,-2.96,-80.01423153,0.58,-0.17,9.657826033,173.27,140.62,77.83,19.49,7.43,26.29,22.91,67.14140244,2.333694197,2.85,KOSDAQ
(주)코스나인,082660,201112,200510,,0,1,1,제조업,1,-16.39784494,-16.38138052,-38.67458151,-21.08,-432.3986363,-10.89,3.37,-2208.852168,51.15,33.02,162.1,-0.21,-0.17,4.12,5.49,-0.58648855,3.208091621,1.09,KOSDAQ
(주)포스코플랜텍,051310,201112,200711,42475.0,1,0,1,건설업,1,24.16244435,-26.50230668,73.04314686,6.5,-57.03259125,-2.83,3.64,-1198.788554,101.41,97.66,388.92,-16.1,-13.66,3.01,3.42,16.31263393,1.543138588,1.19,KOSPI
SK이노베이션(주),096770,201112,200707,,0,0,0,제조업,1,19.84076038,31.3311139,27.30547903,-30.12,27.37443369,8.82,0.4,16360.35769,139.02,86.72,136.16,7.51,2.22,18.37,9.41,685.3952381,0.78972126,3.59,KOSPI
(주)엔이능률,053290,201312,200212,,0,0,0,정보통신업,0,15.46678176,11.0450852,7.558340314,-16.67,278.8355918,11.88,-0.18,387.1558076,236.65,199.05,39.1,39.92,11.69,41.39,43.12,91.64133333,1.404920495,3.84,KOSDAQ
(주)코썬바이오,204990,201612,201612,,1,0,1,제조업,1,56.73614383,70.98810525,10.89047596,8.16,-17.59354479,19.09,-0.9,310.5942502,953.32,924.81,12.88,19.52,3.93,25.76,45.48,122.7870755,0.927625149,4.84,KOSDAQ
한미약품(주),128940,201812,201007,,0,0,0,제조업,1,1.822804605,-0.399759466,10.84197113,7.22,1.715965094,4.99,1.49,2999.920339,129.68,72.73,114.28,-2.05,-1.82,22.99,38.26,113.7374488,1.200552091,1.15,KOSPI
신성델타테크(주),065350,202012,200408,,0,0,0,제조업,1,18.00990227,21.15993223,8.688413457,1.37,43.26955546,3.9,0.6,322.9618612,95.4,81.97,153.82,2.57,1.3,14.54,12.13,98.75911864,3.562915012,2.12,KOSDAQ
(주)세우글로벌,013000,201812,198909,,0,0,0,도매 및 소매업,1,7.59353375,1.304574339,-11.46083196,8.0,-71.9120002,1.12,-0.26,22.29548182,325.18,253.59,32.9,14.7,4.9,5.42,7.3,-15.40111111,0.993439162,3.42,KOSPI
(주)아이티센,124500,201812,201412,,0,0,0,정보통신업,0,78.27578096,102.2875763,82.96258463,6.53,195.2274853,3.61,0.56,326.2311153,128.3,103.5,129.89,4.61,1.51,17.33,10.01,73.05468379,5.580690609,4.29,KOSDAQ
(주)비상교육,100220,201212,200806,,0,0,0,정보통신업,0,18.42891974,11.56517238,3.71509673,-9.42,39.37085529,10.93,-0.31,1300.880024,165.83,140.84,53.54,17.26,8.86,28.54,42.01,97.84670913,1.100176997,2.23,KOSPI
(주)한솔케미칼,014680,201612,198905,,0,0,0,제조업,1,34.29332995,38.2363547,25.10007206,-4.41,67.64329094,13.46,1.98,5216.605645,71.17,49.95,105.12,19.4,15.11,23.73,36.07,283.4521845,1.600079702,1.45,KOSPI
(주)아이에스시,095340,201912,200710,,0,0,0,제조업,1,-3.840143971,0.199100186,-24.32334122,10.25,-84.63337847,0.95,-0.75,224.9540888,261.93,216.23,16.84,47.32,16.21,16.1,38.28,26.5490584,0.491913359,2.55,KOSDAQ
도이치모터스(주),067990,201112,200412,,0,0,0,도매 및 소매업,1,72.04346745,23.42590797,27.63739778,18.21,-7.973841663,5.54,0.46,190.4547444,88.74,62.62,259.89,5.72,1.32,28.85,9.2,77.30704545,0.697714557,5.79,KOSDAQ
(주)피엘에이,082390,201212,200507,42577.0,0,0,0,제조업,1,78.27578096,102.2875763,-34.73126377,-1.84,-163.6847126,-9.58,2.89,481.3553469,51.15,33.02,35.36,-12.26,-11.26,50.49,65.0,135.5525,1.517922697,1.21,KOSDAQ
엘아이지넥스원(주),079550,202012,201510,,0,0,0,제조업,1,12.000705,6.078203492,10.1671308,2.45,252.032974,2.59,0.88,2630.986273,111.97,95.51,285.96,8.92,10.72,17.18,27.86,139.2484177,2.26250686,0.89,KOSPI
에스지이(주),255220,202012,201801,,0,0,0,제조업,1,2.058295653,-1.419368681,-1.890129863,5.59,-58.89256347,2.28,3.74,-38.62902933,106.79,103.77,225.15,3.51,4.35,11.17,19.96,115.0095238,1.995850155,0.82,KOSDAQ
신풍제지(주),002870,201212,197606,,1,0,1,도매 및 소매업,1,4.93006341,-14.187952,0.412024686,11.35,-83.99949425,-7.45,-0.44,-2238.020276,127.88,111.35,99.1,-5.55,-4.17,4.31,6.5,35.23330097,1.128524143,1.53,KOSPI
삼성중공업(주),010140,201312,199401,,0,0,0,제조업,1,4.762137305,10.65402551,2.381227378,0.31,-24.17292697,5.37,-0.08,2736.935905,113.48,104.57,198.11,-2.6,-2.03,15.12,17.76,181.0712173,2.919223213,1.29,KOSPI
(주)위노바,039790,201212,200007,43168.0,0,1,1,제조업,1,-12.74884572,8.292705586,-26.90471021,-5.1,-145.3296958,-2.57,4.16,-115.5027466,129.21,99.81,130.26,-1.33,-1.24,8.25,13.59,39.05301075,2.070300348,0.93,KOSDAQ
(주)에이프로젠헬스케어앤게임즈,109960,201112,200911,,0,0,0,도매 및 소매업,1,-10.15496859,-30.46888233,-22.61840125,-9.38,-432.3986363,-10.89,0.47,-980.9006588,157.71,115.44,121.84,-13.25,-5.48,2.6,1.96,8.746551724,2.946331182,2.54,KOSDAQ
(주)윈팩,097800,201412,201303,,1,0,1,제조업,1,0.023975624,-11.37548946,-0.318454031,-1.69,594.6717064,0.1,3.18,-357.7453521,51.15,33.02,130.64,13.66,14.0,29.19,52.81,76.3304023,1.133289303,1.03,KOSDAQ
(주)위닉스,044340,201612,200010,,0,0,0,제조업,1,-13.31389621,-13.0541299,7.923341408,-22.46,530.4065688,1.13,1.67,-848.720563,88.49,35.6,124.11,25.75,13.73,16.89,16.27,58.35435768,1.711430126,1.74,KOSDAQ
(주)메타바이오메드,059210,201312,200804,,0,0,0,제조업,1,12.91472049,8.932400158,41.8291886,8.05,-0.207093088,4.09,5.03,128.0011948,65.68,50.79,162.22,5.22,5.94,15.43,28.38,86.99,1.487117159,0.94,KOSDAQ
금호타이어(주),073240,201412,200502,,0,0,0,제조업,1,1.494103201,16.49902998,-7.047987084,-0.06,3.602728328,7.51,3.98,833.0010341,98.96,65.39,262.34,13.99,14.16,21.25,29.69,145.8850486,3.576364681,0.97,KOSPI
(주)파라텍,033540,201812,199712,,0,1,1,제조업,1,1.809897504,-1.711856213,-26.39496847,6.73,-101.4457906,-0.09,0.0,14.37767598,215.58,193.04,75.55,-9.72,-3.23,50.49,50.1,431.7538288,3.26763209,3.11,KOSDAQ
알보젠코리아(주),002250,201512,197311,43605.0,0,0,0,제조업,1,0.450800132,5.525466611,82.96258463,44.64,154.1814439,6.83,3.01,1032.197884,311.98,238.59,65.19,10.7,8.04,20.47,38.99,88.22282401,0.472495969,1.45,KOSPI
(주)유진테크,084370,201312,200601,,0,1,1,제조업,1,20.13978939,29.02881065,-36.78577951,9.01,-42.29254574,16.83,-2.91,1794.419697,446.92,423.81,22.48,114.6,28.6,28.45,52.87,474.5560331,1.68445238,2.81,KOSDAQ
(주)진성티이씨,036890,201812,200007,,0,0,0,제조업,1,29.89,17.10584477,45.15166928,0.0,47.73595052,12.65,0.4,964.7946995,145.68,93.94,107.24,-2.03,-0.74,24.31,17.13,206.7073128,2.414120898,3.24,KOSDAQ
(주)이라이콤,041520,202012,200307,,0,0,0,도매 및 소매업,1,9.902406093,3.581106684,-11.51502399,-10.32,131.1672834,7.13,-0.32,679.6086221,451.91,403.12,22.78,106.83,21.08,17.59,18.71,76.13876106,1.334546531,6.08,KOSDAQ
에이테크솔루션(주),071670,202012,200904,,0,0,0,제조업,1,-3.528973312,2.639333802,5.220864552,0.54,45.02922715,2.17,0.51,291.0692,108.55,39.86,150.78,9.84,4.49,23.23,17.63,91.60973046,3.274263766,2.11,KOSDAQ
(주)위메이드맥스,101730,201112,200906,,0,1,1,정보통신업,0,9.006679962,5.218426115,-1.274347194,3.69,-42.32556113,3.95,-2.91,854.987642,871.17,871.17,8.6,116.75,28.6,16.29,65.0,56.86195556,0.514558318,3.57,KOSDAQ
컨버즈(주),109070,201212,200903,,0,1,1,제조업,1,-22.36308992,-31.51271657,-23.88354357,-19.13,53.60173828,-3.43,4.71,-2238.020276,91.44,61.84,388.92,5.69,5.7,0.79,0.92,8.973870968,4.645279278,0.86,KOSPI
(주)지엔코,065060,201912,200205,,1,0,1,제조업,1,-11.01875119,-12.63774459,6.493109956,-1.32,69.9587723,-2.88,3.18,-220.4340187,126.94,80.08,68.26,-19.54,-13.66,4.77,7.59,-61.80966443,0.7838673,1.48,KOSDAQ
제이에스전선(주),005560,201112,200711,41739.0,0,0,0,제조업,1,-4.70283099,-12.34289308,-4.496739747,-5.73,-140.2824587,-6.07,0.23,-1210.273108,339.08,241.92,57.21,-15.27,-2.02,7.86,2.85,43.39817629,0.924390569,7.71,KOSPI
(주)디케이앤디,263020,202012,201811,,0,0,0,제조업,1,4.71947906,3.834185609,18.29452688,14.81,73.03716264,8.04,0.05,460.1730059,304.42,255.09,21.7,34.07,5.58,22.04,20.25,87.90741935,1.349157153,6.37,KOSDAQ
유아이엘(주),049520,201912,200108,,0,0,0,제조업,1,-3.921004701,0.996557684,-3.566663847,-5.28,5.881088896,4.11,-0.28,377.7949589,389.34,328.22,24.72,56.21,5.77,28.77,14.9,50.86560372,2.476367157,8.17,KOSDAQ
자화전자(주),033240,201912,199901,,1,0,1,제조업,1,-1.064063511,0.592185847,1.307434855,0.18,-18.67044731,-2.61,-0.63,-15.69078212,267.19,220.25,25.07,42.42,8.16,31.17,29.92,90.38053211,1.278441606,5.0,KOSPI
엘컴텍(주),037950,201212,200008,,0,1,1,제조업,1,-22.36308992,-31.51271657,-25.54145115,-21.35,-119.4078005,-10.89,5.3,-2238.020276,51.15,33.02,8.48,-5.65,-6.49,-3.59,-5.86,-75.62221774,4.253505565,0.81,KOSDAQ
(주)제이에스티나,026040,201812,199912,,1,0,1,제조업,1,4.90727524,-0.797678759,-9.001400556,1.71,-432.3986363,-0.76,0.17,14.75667104,166.75,105.86,61.3,16.65,5.73,27.53,24.91,58.70406367,1.848723895,3.12,KOSDAQ
(주)신세계,004170,201312,198508,,0,0,0,도매 및 소매업,1,7.627100389,7.84095645,6.310521507,15.08,29.55415046,4.24,2.56,16360.35769,51.15,33.02,124.29,6.35,10.82,11.54,35.46,181.1262091,0.757732206,0.61,KOSPI
(주)다우기술,023590,201212,199708,,0,0,0,정보통신업,0,14.48397584,6.158089215,-0.19855452,15.33,-42.51218259,2.26,0.24,2138.140168,215.96,213.86,323.74,0.02,0.1,5.55,35.48,141.2042405,0.683307665,0.58,KOSPI
디엑스앤브이엑스(주),180400,201512,201511,,0,0,0,"전문, 과학 및 기술 서비스업",0,78.27578096,102.2875763,14.84965367,24.39,55.03580532,3.76,-1.03,296.6054887,1062.09,940.6,8.48,-4.66,-0.53,13.48,55.5,58.62607843,1.223171176,8.17,KOSDAQ
(주)디아이,003160,201612,199607,,0,0,0,제조업,1,4.586307865,-0.29260958,4.02423821,6.96,254.003119,3.12,0.69,53.96938132,144.41,110.26,55.92,6.47,3.8,18.89,30.91,84.52691057,0.95128255,1.82,KOSPI
(주)엠피대산,065150,201612,200707,,1,0,1,도매 및 소매업,1,8.602612093,-2.227729075,23.55606345,-8.47,594.6717064,0.46,0.67,-25.41997889,62.35,51.86,169.46,-5.61,-2.68,24.59,18.66,27.08568123,3.511942602,2.25,KOSDAQ
KD(주),044180,201712,200011,,0,0,0,건설업,1,65.97506568,3.872978582,-37.33901206,26.47,-432.3986363,-10.89,4.6,-46.97964373,145.41,50.29,142.35,-19.54,-13.66,-2.15,-5.86,-75.62221774,1.269694558,0.58,KOSDAQ
(주)팬엔터테인먼트,068050,201312,200607,,0,0,0,정보통신업,0,1.039897145,5.832805393,-28.12792822,-5.71,-110.0261405,-0.25,2.85,-252.5571324,167.27,159.36,63.3,1.76,1.72,2.91,7.33,82.26636364,1.075157975,0.99,KOSDAQ
태광산업(주),003240,201512,197512,,0,0,0,제조업,1,-1.412383642,3.398897095,-11.31752791,-8.94,6.883538878,4.15,0.41,16360.35769,214.47,185.64,29.65,39.17,12.22,14.88,20.29,140.032964,1.13812198,2.95,KOSPI
(주)칩스앤미디어,094360,201312,201310,,0,0,0,제조업,1,4.490852172,7.220320193,12.84257108,0.0,45.12341815,7.32,-0.41,251.1618037,329.41,329.41,35.09,36.35,16.76,41.43,65.0,128.8877193,0.480023423,2.14,KOSDAQ
(주)씨에스,065770,201112,200406,,0,0,0,제조업,1,7.868351598,-8.757975525,-3.534279325,6.9,-180.0004528,-2.92,1.65,-217.56775,126.98,101.1,121.44,-19.48,-13.66,10.62,16.38,52.06282258,1.43516185,1.27,KOSDAQ
(주)서부티엔디,006730,201112,199510,,1,0,1,숙박 및 음식점업,1,10.11961874,1.429846543,6.700019956,1.14,27.96774914,0.48,5.3,17.27425998,87.94,87.46,73.66,9.24,28.6,1.4,30.4,113.9780899,0.348038399,0.58,KOSDAQ
(주)백금티앤에이,046310,201212,200202,,0,0,0,제조업,1,6.016971472,3.027146125,1.453668062,-6.45,365.508654,2.88,1.0,301.8608069,144.58,108.02,129.44,14.22,5.87,26.96,19.71,81.22172414,3.184814603,2.52,KOSDAQ
태평양물산(주),007980,202012,199412,,0,0,0,제조업,1,10.21683736,-3.845650762,-19.20452368,-3.46,-104.548785,-0.3,1.96,-257.3066099,93.67,44.05,281.39,1.81,1.15,34.25,29.5,88.61873684,5.795198978,1.69,KOSPI
현대제철(주),004020,202012,198705,,0,0,0,제조업,1,1.392955154,-3.137501083,-12.13494751,-0.29,-77.95563303,0.21,1.51,-2238.020276,163.6,86.4,108.74,7.26,7.31,7.11,13.75,189.4893683,1.197575142,1.02,KOSPI
(주)수산아이앤티,050960,201812,201610,,0,0,0,정보통신업,0,4.776120336,3.658278553,-0.749285675,7.37,-39.30748639,3.63,-2.91,462.1752333,1062.09,940.6,8.48,121.58,28.6,3.76,17.31,27.60333333,0.348038399,8.17,KOSDAQ
코오롱글로벌(주),003070,201312,197809,,1,0,1,건설업,1,-11.63949376,-11.57581717,-14.76614511,-0.99,129.6805201,0.84,1.58,-907.2518457,97.9,87.94,388.92,1.33,0.74,7.5,4.99,57.77787912,6.550720162,1.68,KOSPI
(주)금양,001570,201712,197612,,0,0,0,제조업,1,9.604218741,67.0365475,6.931358773,-4.39,8.357203416,7.01,1.71,436.5579382,101.4,83.84,240.45,-5.09,-3.91,26.39,28.68,135.7540367,3.917922343,1.28,KOSPI
메가엠디(주),133750,201812,201512,,0,0,0,교육 서비스업,0,9.035327064,0.053827263,8.852623558,7.33,211.7954503,1.96,-1.61,50.40509253,88.68,85.84,76.0,26.0,15.01,22.25,29.74,74.50031056,1.155800953,1.92,KOSDAQ
(주)원익,032940,201112,199707,,1,1,1,도매 및 소매업,1,-22.14892549,-31.51271657,-32.14460187,6.25,129.4877277,2.57,3.49,138.9942676,60.2,37.15,203.38,-6.35,-8.17,10.39,19.94,118.6279412,2.410577619,0.91,KOSDAQ
영풍제지(주),006740,201412,199607,,0,0,0,제조업,1,-1.447497786,-2.598039196,-11.9180034,-5.61,-75.75807173,0.74,-0.27,691.0824324,391.08,300.45,17.08,29.88,6.11,13.71,19.2,158.029703,0.926513821,5.03,KOSPI
영화금속(주),012280,201912,199001,,1,0,1,제조업,1,-3.127391774,1.652238138,2.592457535,0.0,88.62018625,0.98,1.33,5.811070496,117.4,81.85,185.47,3.86,2.17,21.76,18.88,90.74904959,3.244875826,1.72,KOSPI
덕산하이메탈(주),077360,201612,200510,,0,0,0,제조업,1,-16.03536216,-8.622387668,-29.90745988,-5.81,39.42288757,2.66,-1.38,-733.1339775,330.92,295.62,9.92,60.46,23.39,10.89,46.67,-75.62221774,0.36964843,1.63,KOSDAQ
(주)솔루에타,154040,201912,201312,,0,0,0,제조업,1,-12.40590158,-1.051261551,12.77683068,-9.36,11.65503585,3.1,1.13,-262.1787151,101.28,74.46,163.17,4.8,2.15,20.11,14.57,60.09445161,3.612642633,2.0,KOSDAQ
