,회사명,거래소코드,회계년도,영업손익,전기영업손익,당기순이익,전기순이익,매출액,전기매출액,정상영업이익증가율,순이익증가율,매출액증가율
0,(주)CMG제약,58820,2011/12,640283.0,,-1508282.0,,17751704.0,,,,
1,(주)CMG제약,58820,2012/12,-4205503.0,640283.0,-6660149.0,-1508282.0,16255389.0,17751704.0,-756.8194064187243,341.57186786025426,-8.429134465063184
2,(주)CMG제약,58820,2013/12,791250.0,-4205503.0,296181.0,-6660149.0,20402140.0,16255389.0,-631.5011690363349,-2348.675303277388,25.51000778880161
3,(주)CMG제약,58820,2014/12,442322.0,791250.0,158039.0,296181.0,22752584.0,20402140.0,-44.098325434439175,-46.641074208001186,11.520575782736517
4,(주)CMG제약,58820,2015/12,-2572168.0,442322.0,-3650091.0,158039.0,27041894.0,22752584.0,-681.5148240422136,-2409.6140825998646,18.851968637935805
5,(주)CMG제약,58820,2016/12,1730753.0,-2572168.0,1727895.0,-3650091.0,32969825.0,27041894.0,-248.61554479466452,-311.2449541204761,21.921286282684193
6,(주)CMG제약,58820,2017/12,1558607.0,1730753.0,2834901.0,1727895.0,41535588.0,32969825.0,-9.94630660758641,64.06674016650318,25.980614091824872
7,(주)CMG제약,58820,2018/12,2567820.0,1558607.0,6065026.0,2834901.0,49864782.0,41535588.0,64.75096031263814,113.94136867566098,20.053150565726913
8,(주)CMG제약,58820,2019/12,2603774.0,2567820.0,3051177.0,6065026.0,58622681.0,49864782.0,1.400176024799246,-49.692268425559924,17.563295473747385
9,(주)CMG제약,58820,2020/12,1822365.0,2603774.0,214996.0,3051177.0,64459891.0,58622681.0,-30.010630722942928,-92.95367000996664,9.957255281449854
10,(주)DB하이텍,990,2011/12,-43150444.0,,-97946584.0,,552216245.0,,,,
11,(주)DB하이텍,990,2012/12,-15621631.0,-43150444.0,-31341318.0,-97946584.0,590786488.0,552216245.0,-63.797287925936516,-68.00162219031549,6.984626647482998
12,(주)DB하이텍,990,2013/12,-9610612.0,-15621631.0,-83046768.0,-31341318.0,493752028.0,590786488.0,-38.47881824887555,164.97535298292178,-16.424624119026905
13,(주)DB하이텍,990,2014/12,45560248.0,-9610612.0,-77008844.0,-83046768.0,567718224.0,493752028.0,-121.09429255082193,-7.27051051523161,14.980433862643295
14,(주)DB하이텍,990,2015/12,124968815.0,45560248.0,126733352.0,-77008844.0,666594987.0,567718224.0,174.29353545222142,-160.76446553705927,17.416520876032333
15,(주)DB하이텍,990,2016/12,172427930.0,124968815.0,88344018.0,126733352.0,773140180.0,666594987.0,37.97676644369237,-30.291421629880034,15.983497487658124
16,(주)DB하이텍,990,2017/12,143195168.0,172427930.0,110175089.0,88344018.0,679737744.0,773140180.0,-16.953611865548694,24.711430942613454,-12.08091862461475
17,(주)DB하이텍,990,2018/12,112993143.0,143195168.0,86828768.0,110175089.0,669279136.0,679737744.0,-21.091511272223933,-21.190199356226525,-1.5386239902546885
18,(주)DB하이텍,990,2019/12,181292188.0,112993143.0,104637012.0,86828768.0,807416423.0,669279136.0,60.445300649792536,20.509612666622196,20.63971212752701
19,(주)DB하이텍,990,2020/12,239335181.0,181292188.0,166025591.0,104637012.0,935919766.0,807416423.0,32.01626812513289,58.66813073752527,15.915373943291714
