,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률
34,(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,-88.29221109,-0.553511841,11.97438295,2.75,-47.59504828,1.13,0.11,0.2,2.1,3.36,0.61,0.65,99.59,6.05,1745.097978,1.897193583,-7.699526588,583.8494619,14.69,62.57224245,171.22,123.05,7.42,1264.27,59.82,1.72,6.4,8.7,2.4,1.28,67.63899015,14.0,45.27,108.26,7.49,70.259756,117.5369643,291.1428571,119.7342411,915.1160714,1.86,2.981015117,4.96,3.85,5.14,15.32,6.81,2.36
40,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-79.41534298,-2.138086884,-2.400691212,5.41,-85.18771344,1.14,1.11,1.64,1.7,1.97,2.21,-0.11,98.53,39.13,1651.960128,18.29738091,46.81270776,936.3419724,87.25,86.07927729,1287.95,953.73,441.48,2749.34,16.17,22.72,56.94,277.3,7.93,5.29,28.13395368,16.27,67.41,164.52,10.85,75.98243207,127.2395513,191.75,77.61636538,774.974359,1.48,1.723249539,10.59,2.12,2.8,8.69,6.5,1.95
41,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-251.9569526,-6.064011679,-23.28239559,1.28,-249.053849,-2.22,-2.19,-2.51,-2.55,-3.06,-2.84,-0.2,102.32,35.02,1267.344236,-27.80414243,144.6976537,876.2465702,76.79,80.21659328,1110.48,887.83,542.25,1864.22,24.66,-24.12,43.59,121.45,8.62,7.56,22.03406348,11.1,44.32,102.46,9.73,107.577529,82.02468354,209.6582278,214.4488861,766.6202532,1.15,1.378266812,6.79,1.66,2.16,7.22,6.14,1.54
43,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,-22.7843423,11.19897057,4.637518481,7.0,-7.880603224,11.18,8.56,6.13,8.0,14.12,10.81,-0.95,82.16,17.53,7748.114221,663.0876992,452.3649279,6114.163953,1205.3,58.95239649,140.97,117.58,22.15,170.02,69.63,15.51,12.07,39.15,4.96,7.01,57.09740249,13.74,59.15,353.46,19.42,41.96925117,165.4670909,233.3927273,45.03183273,1117.698182,0.72,1.263183398,1.65,1.47,1.78,8.7,3.61,0.85
49,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.86293087,436.6018391,80.64191091,32.74267069,63.93,-12.88556978,3.33,22.6,13.02,1.92,3.02,20.48,0.5,80.75,17.66,4679.093286,1057.604614,570.9998222,6283.402738,1277.69,63.81112525,135.98,87.82,49.22,157.58,56.71,4.07,5.64,12.26,2.04,4.54,133.843675,16.76,32.0,292.53,37.32,27.54291805,189.48468,312.626,72.253562,1256.668,0.58,0.905960631,1.58,1.33,1.96,4.1,4.23,0.75
50,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,-86.28943106,1.416586295,40.48147167,-1.8,9.329672564,2.59,2.21,1.39,1.64,2.54,2.17,0.35,97.01,15.52,6573.259108,145.0036097,572.6821363,6407.138943,1296.53,64.96328955,131.76,91.59,58.26,163.65,53.93,3.47,15.72,29.05,5.51,8.7,126.4836825,9.64,24.96,199.32,15.22,57.1257515,103.31222,311.6150713,61.88545214,1239.700611,0.63,0.981673693,1.77,1.43,2.14,4.34,7.08,0.82
53,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,145.7294739,14.14136286,18.11849479,5.98,143.5955237,6.56,3.94,3.19,5.32,8.8,5.29,-0.27,95.11,72.32,32564.60114,1282.740819,3759.590081,25873.82344,5074.77,62.60417905,182.56,162.88,51.29,140.21,59.73,77.44,4.27,96.23,1.6,2.03,-19.68152128,-1.34,-3.2,-69.11,-1.7,-1973.751912,-20.0574359,627.1282051,29.02157949,1501.548718,0.81,1.341704598,2.05,1.5,1.68,14.06,3.95,0.94
60,(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.349571484,-27.45826677,0.535114109,0.294729128,0.0,-28.88774228,5.14,3.79,3.01,4.08,6.52,5.6,-0.11,95.25,71.43,111820.854,4238.56571,3840.31559,26040.40641,6539.94,63.52211605,184.89,132.96,35.94,121.68,57.43,20.28,9.53,105.76,3.48,4.32,61.17236327,13.94,29.63,224.92,17.33,57.84897304,1111.38,11.11111111,0.0,43218.33333,0.79,1.269479377,2.12,1.64,2.25,6.01,4.31,1.05
66,(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.506883918,185.0873017,-1.054283563,-7.084474287,42.86,19.81125792,5.18,5.26,3.46,3.41,4.81,4.36,-0.48,92.95,73.84,85949.29344,4522.376874,7908.720902,25918.54482,7869.89,71.11604263,306.08,248.36,70.44,121.27,40.62,59.79,19.09,1804.58,5.51,8.32,28.00784661,13.41,33.17,309.23,20.23,50.58828112,686.434,0.3,0.0,42280.5,0.66,0.927229548,2.26,1.19,1.46,6.43,4.81,0.88
67,(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.811450601,68.86666535,8.159352782,7.907406791,0.0,73.81535328,8.35,8.23,5.72,5.81,8.07,8.78,-0.61,90.6,75.51,92745.6537,7636.787021,5470.220474,25573.04437,9259.26,72.69407138,312.26,255.6,92.67,159.09,37.56,184.05,17.86,7957.52,4.88,7.21,26.69340713,14.32,37.79,346.3,21.18,43.94839327,1060.111,6.0,0.0,41717.3,0.7,0.966451768,2.48,1.24,1.52,6.72,5.13,0.94
70,(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-3.19335903,-320.7777373,-21.36301621,3.21981614,-4.34,-275.105282,-6.67,-7.97,-9.53,-7.98,-24.01,-35.59,1.78,108.17,37.31,101994.1332,-8128.732977,4150.003908,18603.35503,655.36,29.73416967,62.81,55.08,12.95,172.8,236.31,-3.12,4.3,5.44,3.02,2.49,-20.77521038,-2.76,-16.56,-43.1,-2.27,-117.376115,245.7466667,185.5946667,0.0,8605.008,1.2,3.599534971,1.79,4.23,5.1,24.74,10.95,1.68
73,(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,20.40027424,-97.26668258,0.246987287,-2.543926198,1.27,-48.04523837,1.18,0.02,0.02,1.19,2.63,0.07,1.78,99.86,43.11,29490.43971,7.328294118,-271.1984118,12338.58824,1254.33,41.31499211,113.94,61.44,8.23,171.22,142.04,0.57,-2.31,-3.27,-1.36,-1.48,376.6029093,9.11,39.33,130.33,9.94,62.90922628,138.7078683,224.3103448,60.1292069,1375.056426,1.0,2.221055481,1.82,2.49,4.52,5.56,6.66,1.32
76,(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,31.23739501,34.27340864,21.12267188,30.69573941,10.47,-6.856484807,11.03,13.64,12.54,10.15,14.16,21.3,-5.46,84.5,0.0,5178.44784,706.3112773,991.6991134,2336.962993,447.19,69.14843377,215.35,213.68,87.48,246.86,44.62,15.43,43.49,86.47,13.42,16.56,1.449658755,36.43,82.09,823.51,44.97,52.29388203,82.08246445,112.5545024,0.0,245.478673,0.92,1.283477545,3.24,2.27,2.28,525.34,12.67,1.54
82,(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,13.53843992,58.64799346,14.30577361,10.7646865,1.82,43.07917217,14.13,11.92,10.77,12.77,16.99,12.58,-0.28,86.32,84.14,9510.301659,1133.348488,1615.753589,3681.601905,853.3,75.40089093,262.0,255.35,101.66,476.52,32.62,62.3,56.79,178.4,13.97,16.44,4.107065129,41.1,137.57,2088.21,48.35,57.61979066,88.59203571,87.23214286,0.0,247.5571429,0.9,1.20259741,3.64,1.79,1.83,70.39,7.13,1.27
83,(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,32.00968327,37.55867011,18.19082721,15.20910244,-1.07,30.50368396,16.01,14.23,12.01,13.51,19.05,15.73,0.03,83.72,85.34,10956.73318,1559.019108,2729.863301,3995.660655,1007.26,67.50787859,201.58,195.45,66.71,503.42,48.13,34.25,45.28,83.67,14.71,19.83,6.038122983,66.57,209.21,5613.2,89.74,61.72431114,106.8301805,143.4115523,0.0,299.5126354,0.84,1.190518841,2.9,1.8,1.85,64.12,7.19,1.25
86,(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.201202725,-19.66190423,5.079568924,2.410138672,1.24,-17.1272683,31.24,23.63,10.9,14.41,17.49,13.23,-3.55,69.19,12.44,6058.652864,1431.374555,2087.214618,11139.36351,2280.19,81.60675168,224.82,224.59,17.1,288.54,22.54,565.68,80.84,0.0,14.87,33.34,0.185547941,24.52,53.88,260.6,54.99,39.58936737,217.9085835,419.0053392,85.67783825,915.6363065,0.46,0.559983631,2.62,1.11,1.11,752.16,230.83,0.79
92,(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,1.089049143,-32.06643128,2.443170287,-10.37169597,40.64,-18.87320515,29.95,20.67,7.06,10.23,12.15,8.39,-3.05,72.47,7.99,6721.77217,1389.343677,1701.027585,16763.78713,3415.74,84.76890796,276.57,276.38,7.68,274.97,17.97,1834.66,64.16,0.0,9.77,28.75,0.102297441,19.7,64.76,420.96,57.96,39.7815375,162.9483288,250.1074317,38.03242761,814.3301887,0.34,0.405772194,2.16,0.73,0.73,1174.68,199.09,0.55
93,(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,4.889296892,12.58828005,3.651801708,5.703599988,-0.9,16.35782737,32.97,22.02,7.72,11.56,13.72,9.16,-2.74,69.67,8.46,7105.155167,1564.23815,1906.459385,17380.68762,3538.18,83.76879529,288.36,287.8,9.31,203.32,19.38,255.56,53.57,567.28,8.69,25.39,0.296412217,20.46,68.09,483.42,59.73,32.12003965,176.1451739,263.0137944,36.4712143,861.9510394,0.35,0.416201772,2.23,0.84,0.84,635.31,172.37,0.62
