,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,총자본회전률,자기자본회전률,타인자본회전률,유동자산회전률,당좌자산회전률,재고자산회전률,매출채권회전률,순운전자본회전률
0,(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,13.16648171,80.28016283,5.219838981,56.39690482,4.65,1263.950784,3.61,-8.5,-5.58,2.37,3.51,-8.28,0.8,108.35,-245.87,406.2807027,-34.51983375,-58.60037718,418.6234929,-17.45,66.04694461,200.97,165.03,15.1,602.31,51.41,3.53,-46.08,-172.4,-15.65,-24.07,35.59007636,12.72,35.86,128.51,19.56,89.81904688,27.17962963,71.5037037,19.71583704,204.0666667,0.66,0.984332866,2.01,1.25,1.55,6.42,2.45,0.86
1,(주)CMG제약,58820,201212,200108,,0,0,0,제조업,1,109.1471192,-341.5718679,75.17050474,-8.429134465,-0.74,-756.8194064,-25.87,-40.97,-15.78,-9.96,-16.95,-26.84,2.53,140.55,-165.71,246.1985014,-100.872314,-23.81776809,478.648111,-4.31,55.31740849,693.49,649.98,68.81,323.41,80.77,-7.75,-8.1,-11.83,-3.62,-12.71,7.330001366,0.47,2.89,10.67,1.66,1749.845902,-0.657014925,69.13432836,18.56217164,425.2910448,0.39,0.655129899,0.93,0.52,0.57,5.71,1.85,0.42
6,(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,-1.272045136,64.06674017,-3.12895856,25.98061409,25.0,-9.946306608,3.75,6.83,2.57,1.41,1.57,2.85,-2.72,93.31,-3.47,381.4550399,26.03519839,17.89085598,899.4993022,79.9,89.3909556,746.28,673.66,34.9,215.55,11.87,50.08571429,22.67,0.0,2.4,6.34,11.23710531,12.51,84.87,389.08,33.01,67.97929441,68.55005,80.915,16.22651,547.84,0.38,0.417334769,3.86,0.52,0.57,5.81,3.01,0.46
7,(주)CMG제약,58820,201812,200108,,0,0,0,제조업,1,4.391537932,113.9413687,6.164569375,20.05315057,11.0,64.75096031,5.15,12.16,5.42,2.29,2.54,6.01,-1.01,92.86,2.22,457.9487933,55.70005978,8.1440118,954.9511603,90.99,90.90921061,957.86,856.94,158.5,414.65,10.0,50.08571429,13.63,0.0,1.24,2.84,11.76334853,14.73,106.25,478.91,33.79,67.32648173,75.89031532,77.78828829,14.95242342,515.2252252,0.45,0.493891974,4.53,0.61,0.68,6.05,3.08,0.55
8,(주)CMG제약,58820,201912,200108,,0,0,0,제조업,1,68.07428544,-49.69226843,73.25936202,17.56329547,8.56,1.400176025,4.44,5.2,1.99,1.7,1.83,2.15,-1.86,93.7,2.81,422.0731073,21.96794372,20.32789534,1297.106266,159.42,93.71375157,1618.07,1520.84,199.55,468.79,6.71,303.0,15.35,647.74,0.96,3.16,6.405069126,9.9,114.6,438.05,32.47,72.1686029,78.97614108,100.0788382,14.3143195,797.6887967,0.38,0.412632184,5.21,0.51,0.55,6.65,3.12,0.47
10,(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-28.92081189,-38.00740537,-23.94249659,-21.21911983,5.38,84.54820029,-7.81,-17.74,-7.59,-3.34,-12.22,-27.74,9.4,113.85,-186.59,12865.19095,-2281.898654,1415.296649,6796.055027,80.99,25.69227832,35.2,25.5,5.04,336.28,289.22,-0.75,5.87,7.39,4.36,9.47,-14.9739367,18.17,29.75,78.9,39.45,62.53392133,84.5009739,295.3564472,200.041222,461.2220491,0.43,1.792550864,0.59,1.87,2.54,7.04,6.12,0.72
11,(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,16.81759712,-113.2010801,-6.578983294,54.09825664,20.3,-618.261456,-6.84,-8.99,-8.65,-6.58,-9.3,-12.61,-0.98,108.28,-7.97,2296.513946,-206.352504,47.6565362,1684.054379,227.25,70.74248312,230.24,194.35,21.35,461.69,41.36,-245.99,6.82,1107.72,2.0,2.08,27.55824953,21.71,279.2,1125.26,22.56,96.36475949,33.59337553,5.936708861,0.003037975,190.8565401,0.96,1.360143281,3.29,1.57,1.86,10.05,4.27,1.09
12,(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,-16.57509724,92.5107757,1.564117767,4.854247527,-0.42,4185.927443,0.16,-0.64,-0.78,0.19,0.22,0.29,-0.65,100.19,1.22,2392.628947,-15.35560098,223.3456039,1704.814715,235.11,86.12413859,472.77,371.91,84.78,297.97,16.11,1.72,81.36,3402.53,11.29,9.33,27.05654208,38.87,565.49,2009.57,32.14,71.07159012,49.22597458,5.915254237,0.002084746,189.3050847,1.21,1.415101079,8.72,2.46,3.13,11.55,12.19,2.03
17,(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,-91.93203097,1.563205887,4.247404846,16.67,4.048002791,6.29,4.86,1.65,2.13,3.11,2.41,1.01,95.23,31.17,429.4147353,20.87771792,27.76181181,857.7051966,74.95,68.76514743,1378.49,1153.05,654.97,199.81,45.42,2.86,5.37,6.21,1.68,4.97,17.63272441,7.08,64.47,1606.97,20.96,54.12754945,127.8877143,214.4571429,0.0,2995.714286,0.34,0.494706961,1.07,0.7,0.83,4.53,13.8,0.66
18,(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,6.174930033,-452.2282032,-2.840375748,-5.545508375,-14.29,-153.8633857,-3.59,-18.13,-5.61,-1.11,-1.69,-5.54,2.29,115.62,28.8,405.6015052,-73.53721068,-16.18792122,799.0936998,68.98,62.92630364,119.8,95.25,71.07,356.25,58.92,-0.82,1.16,1.34,0.43,1.43,124.010987,1.04,7.67,278.71,3.45,340.5431111,5.900333333,362.7,0.0,3616.066667,0.31,0.47035689,0.9,0.7,0.86,3.84,11.85,0.49
