회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,자기자본회전률,당좌자산회전률,재고자산회전률,매출채권회전률
(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,78.12143123,110.710524,44.39009507,-18.65487191,-23.08,287.8921316,24.5,2.69,28.33,-0.61,30.22,823.8377463,517.5458123,29.81279375,1677.785632,244.51,1062.63,944.43,305.29,263.79,46.68,8.98,-2.3,-2.58,-2.24,15.68640579,380.46,11735.41,16.20042042,672.0003333,155.7666667,0.0,3482.0,0.565129304,0.88,4.82,13.3
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,-91.93203097,1.563205887,4.247404846,16.67,4.048002791,4.86,2.13,2.41,1.01,31.17,721.2460925,20.87771792,27.76181181,857.7051966,74.95,1062.63,944.43,305.29,199.81,45.42,2.86,5.37,6.21,4.97,17.63272441,64.47,1606.97,54.12754945,127.8877143,214.4571429,0.0,2995.714286,0.494706961,0.83,4.53,13.8
(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-83.70571571,-6.132879872,84.57029349,-20.0,125.3690776,-31.35,1.75,-39.39,4.05,-34.12,721.2460925,-186.4640143,-275.8787573,590.440086,16.66,61.5,59.7,2.11,2381.75,395.35,3.09,2.96,270.39,23.68,-4.667892938,13.0,1164.79,-43.72002939,-75.62221774,23.08333333,0.0,3416.458333,1.124069766,0.57,9.46,1.88
(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-88.25266102,-7.519747157,-9.364472804,-19.81,-50.60025987,-3.35,1.48,-5.07,5.14,45.63,59879.70419,-2007.104595,-2079.939134,38826.60176,672.79,96.33,81.81,34.4,132.35,276.93,0.55,-0.99,-1.51,-1.77,-395.9502789,15.81,125.15,41.14505949,130.7116697,512.5709156,27.86247756,2103.094794,1.54886686,1.29,8.86,10.97
(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,-260.7016498,0.229277913,-17.1965321,-3.77,-69.82421494,-9.73,0.45,-9.74,5.14,85.36,6397.879857,-622.4731429,25.54571429,8023.0,852.03,58.36,45.92,5.22,2381.75,214.54,0.12,2.62,20.09,5.35,-29.87167,11.62,358.35,50.38883707,238.3558824,689.6666667,18.91531373,2665.235294,1.049635649,1.22,4.99,4.83
(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,813.882144,15.64399285,4.068573283,-1.92,-44.79294932,11.3,2.28,16.85,5.07,82.42,8885.698143,1004.033429,873.4357143,6731.428571,939.04,57.37,40.78,0.99,2381.75,182.66,0.87,0.72,0.81,0.97,-38.91907509,18.55,648.66,40.05949384,-75.62221774,669.0980392,10.79103922,2402.372549,1.453883537,2.07,3.76,5.98
(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-23.18877172,-102.8910961,15.04430493,-21.24779744,3.92,190.5516122,-0.41,8.13,-0.38,2.46,82.1,6638.694639,-27.53842705,699.2214976,7116.326486,1048.39,90.87,68.77,0.99,0.0,62.03,5.62,17.21,19.17,11.51,-241.9316167,31.73,668.75,38.67303873,208.1232075,680.8113208,31.86792453,1608.566038,0.992838635,1.87,5.03,4.65
(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-7.644589125,102.6122076,9.652951927,2.863033378,-11.32,26.84050306,15.44,13.48,14.06,1.17,84.97,6828.762682,1054.22045,1813.921371,7802.371368,1178.69,109.55,92.01,15.38,0.0,36.47,12.69,43.92,49.79,18.4,183.6212964,44.99,773.64,26.63980529,350.0610638,783.9574468,45.25402128,1674.276596,0.91054169,2.48,9.52,4.7
(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,4.706390989,9.842964973,-2.95552733,-8.51,7.054292129,16.66,15.69,13.41,0.6,86.9,6626.936735,1103.836186,1659.658176,8573.257043,1314.52,257.95,185.46,17.87,0.0,13.77,29.41,123.47,233.68,26.21,45.89207382,46.21,828.18,28.31500723,392.6251163,869.5581395,47.99348837,1675.0,0.805113075,2.96,10.7,4.65
(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,78.12143123,-47.10576862,68.03111037,6.299170553,11.63,-31.64573325,8.29,2.84,10.42,-1.46,90.08,7044.378782,583.8656664,452.2434427,8768.553502,1410.23,50.76,41.69,7.8,2379.05,368.17,3.46,1.98,3.07,14.99,-5.335214014,3.65,614.75,38.05332824,310.0485417,821.2291667,48.13139583,2238.270833,0.609991407,1.11,9.33,4.99
(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,298.5904419,1.305491938,17.02028807,14.89,101.5802193,4.02,3.5,11.49,5.14,90.51,12827.12008,515.3906078,2573.11501,7807.656976,1363.18,50.76,32.91,8.54,1936.0,395.35,1.29,4.11,6.34,16.04,-7.709118423,11.5,2584.8,22.02879444,205.4540741,776.1666667,32.3997037,1805.851852,1.184438162,3.5,11.45,9.91
(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,310.0069296,3.08790843,14.98935662,-1.8,23.48991936,1.04,4.16,3.31,0.77,4.5,1553.726486,16.15512027,52.25331551,590.440086,16.66,147.77,115.16,15.37,2381.75,60.5,2.82,8.32,11.28,1.9,68.27316507,44.34,108.63,59.35306122,130.4706422,303.8073394,120.0100642,939.293578,2.654861677,4.8,20.16,6.81
(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,6.556925846,813.882144,7.271657822,19.57313536,3.57,194.259531,1.99,6.0,7.35,0.52,12.26,2086.668367,41.45108937,53.53362135,627.875035,23.54,168.09,134.09,15.75,1206.44,58.75,5.3,6.23,9.1,1.1,49.93309537,66.7,159.25,57.97240075,161.4256897,275.387931,112.7900086,948.1465517,3.449012887,5.56,17.73,7.81
(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,0.228489815,263.2193384,21.03194923,-0.431038523,20.69,231.1201021,7.25,19.23,21.7,0.34,26.39,2077.674023,150.5583726,222.6870176,750.441223,49.06,291.69,224.49,37.69,1384.72,31.46,26.68,57.91,160.41,6.65,35.05700085,122.0,292.95,35.16254844,241.4039286,221.9285714,91.3025,779.2714286,3.002055171,4.94,17.87,7.43
(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,4.315747045,-24.75599487,8.795430361,-6.266970193,4.29,7.889598239,5.82,20.29,14.62,0.09,31.84,1947.466811,113.2861496,221.6185629,816.4480909,62.33,399.36,329.69,115.03,2381.75,26.05,84.87,103.42,358.77,11.41,23.27170641,112.7,263.46,45.24632793,239.0107534,223.6643836,94.60160959,781.1506849,2.461191242,4.21,16.78,7.11
(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,7.763107375,43.19296664,13.57684568,0.903853572,1.37,5.015146943,8.26,20.08,18.66,-0.07,39.53,1965.069059,162.2177984,105.1445227,927.5062657,84.85,673.11,580.63,211.38,2381.75,19.6,210.93,89.01,510.0,8.31,16.13730526,130.53,304.32,38.24387805,266.2941892,214.8108108,90.79486486,830.7905405,2.23156366,3.39,18.61,6.05
(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,0.661449466,-45.20426063,3.46298736,-13.86592358,0.0,-41.15662483,5.25,11.35,9.21,-0.1,40.46,1692.594085,88.888442,127.8424185,951.2151121,90.76,1057.37,816.13,305.29,1678.27,16.36,162.17,73.48,364.34,6.88,25.19837753,94.63,223.37,50.02467638,184.1913514,209.1689189,88.10779054,832.8513514,1.776491894,2.68,11.92,5.24
