회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률
(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.349571484,-27.45826677,0.535114109,0.294729128,0.0,-28.88774228,3.79,-0.11,71.43,111820.854,4238.56571,3840.31559,26040.40641,6539.94,132.96,35.94,121.68,20.28,9.53,105.76,61.17236327,29.63,224.92,17.33,57.84897304,686.434,11.11111111,0.0,14485.91667,6.01,4.31
(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.506883918,185.0873017,-1.054283563,-7.084474287,42.86,19.81125792,5.26,-0.48,73.84,85949.29344,4522.376874,7908.720902,25918.54482,7869.89,248.36,70.44,121.27,59.79,19.09,1804.58,28.00784661,33.17,309.23,20.23,50.58828112,686.434,2.87434555,0.0,14485.91667,6.43,4.81
(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.811450601,68.86666535,8.159352782,7.907406791,0.0,73.81535328,8.23,-0.61,75.51,92745.6537,7636.787021,5470.220474,25573.04437,8431.84,255.6,92.67,159.09,184.05,17.86,3402.53,26.69340713,37.79,346.3,21.18,43.94839327,686.434,6.0,0.0,14485.91667,6.72,5.13
(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-3.19335903,-320.7777373,-21.36301621,3.21981614,-4.34,-275.105282,-7.97,1.78,37.31,101994.1332,-2136.550778,4150.003908,18603.35503,655.36,55.08,12.95,172.8,-3.12,4.3,5.44,-20.77521038,-16.56,-43.1,-2.27,-64.05574513,245.7466667,185.5946667,0.0,8605.008,24.74,10.95
(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,20.40027424,-97.26668258,0.246987287,-2.543926198,1.27,-48.04523837,0.02,1.78,43.11,29490.43971,7.328294118,-271.1984118,12338.58824,1254.33,61.44,8.23,171.22,0.57,-2.31,-3.27,376.6029093,39.33,130.33,9.94,62.90922628,138.7078683,224.3103448,60.1292069,1375.056426,5.56,6.66
(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,31.23739501,34.27340864,21.12267188,30.69573941,10.47,-6.856484807,13.64,-3.03,0.0,5178.44784,706.3112773,991.6991134,2336.962993,447.19,213.68,87.48,246.86,15.43,43.49,86.47,1.449658755,82.09,823.51,44.97,52.29388203,82.08246445,112.5545024,0.0,245.478673,525.34,12.67
(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,13.53843992,58.64799346,14.30577361,10.7646865,1.82,43.07917217,11.92,-0.28,84.14,9510.301659,1133.348488,1615.753589,3681.601905,853.3,255.35,101.66,476.52,62.3,56.79,178.4,4.107065129,137.57,2088.21,48.35,57.61979066,88.59203571,87.23214286,0.0,247.5571429,70.39,7.13
(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,32.00968327,37.55867011,18.19082721,15.20910244,-1.07,30.50368396,14.23,0.03,85.34,10956.73318,1559.019108,2729.863301,3995.660655,1007.26,195.45,66.71,503.42,34.25,45.28,83.67,6.038122983,209.21,5613.2,64.5,61.72431114,106.8301805,143.4115523,0.0,299.5126354,64.12,7.19
(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.201202725,-19.66190423,5.079568924,2.410138672,1.24,-17.1272683,23.63,-3.03,12.44,6058.652864,1431.374555,2087.214618,11139.36351,2280.19,224.59,17.1,288.54,565.68,80.84,0.0,0.185547941,53.88,260.6,54.99,39.58936737,217.9085835,419.0053392,85.67783825,915.6363065,711.59,36.3
(주)강원랜드,35250,201812,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,1.089049143,-32.06643128,2.443170287,-10.37169597,40.64,-18.87320515,20.67,-3.03,7.99,6721.77217,1389.343677,1701.027585,16763.78713,3415.74,276.38,7.68,274.97,1834.66,64.16,0.0,0.102297441,64.76,420.96,57.96,39.7815375,162.9483288,250.1074317,38.03242761,814.3301887,711.59,36.3
(주)강원랜드,35250,201912,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,4.889296892,12.58828005,3.651801708,5.703599988,-0.9,16.35782737,22.02,-2.74,8.46,7105.155167,1564.23815,1906.459385,17380.68762,3538.18,287.8,9.31,203.32,255.56,53.57,567.28,0.296412217,68.09,483.42,59.73,32.12003965,176.1451739,263.0137944,36.4712143,861.9510394,635.31,36.3
(주)강원에너지,114190,201212,200911,,0,1,1,제조업,1,66.15740553,55.95123303,47.36466589,77.87372983,0.0,76.19348869,8.43,-0.73,54.5,8405.516425,708.508114,-248.294482,2850.595721,581.28,144.74,10.65,236.27,58.37,-5.92,-25.99,-7.189204055,445.26,1901.76,17.62,39.28224006,185.7486139,43.72277228,9.76719802,883.7425743,27.95,2.56
(주)갤럭시아에스엠,11420,201212,198911,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,-2.507814392,-86.6290492,2.505478255,16.30693493,8.11,-59.83667642,0.71,0.56,-6.74,2805.450132,19.82543033,142.7687527,1281.849786,149.31,183.89,58.88,142.92,3.79,15.5,81.2,0.33138655,333.76,380.87,20.53,38.24126393,243.02775,6.1,0.0,1004.25,711.59,19.66
(주)경농,2100,201212,197706,,0,0,0,제조업,1,55.03623894,767.8950912,6.12141086,12.96196018,-0.65,65.83909445,7.53,1.33,5.24,6314.402895,475.3115355,405.5431212,6984.222112,1319.33,38.82,19.56,63.35,5.6,7.48,12.52,258.7955288,42.13,1352.39,28.52,47.92215548,106.6718627,168.1699346,8.119245098,664.9281046,1.34,11.0
(주)경농,2100,201812,197706,,0,0,0,제조업,1,6.367462053,-51.60023739,4.840364542,2.963300803,3.55,74.83590704,2.29,1.28,30.49,9803.479065,224.8977607,488.9992278,8623.877742,1639.37,38.2,9.58,102.56,5.16,8.48,15.62,290.2241701,40.68,423.76,27.25,59.39254041,134.8708857,193.7714286,7.702197143,814.3771429,1.77,8.96
(주)경농,2100,201912,197706,,0,0,0,제조업,1,3.810538371,-17.70575181,0.214133864,6.986128122,3.43,-41.15866756,1.76,1.61,31.24,10488.36267,185.0779213,-47.03036869,8800.258163,1648.84,41.85,9.67,91.84,2.2,2.84,5.07,214.2448559,40.26,472.57,24.6,62.26365006,121.0581215,177.1519337,5.142461326,820.9861878,1.79,9.02
(주)경동나비엔,9450,201212,199308,,0,0,0,제조업,1,13.87435129,-3.13781851,4.616387393,11.06745296,12.16,12.10645428,2.42,0.03,6.49,29751.08611,719.8051573,2170.31126,11947.1628,1270.59,85.68,40.75,62.1,11.7,17.42,86.71,131.7507741,67.24,687.71,18.05,69.32541967,69.76091837,109.6989796,6.405258929,324.7793367,6.3,11.47
(주)경동나비엔,9450,201812,199308,,0,0,0,제조업,1,15.86242814,-8.403625521,9.199423514,6.146203681,10.05,-14.56291653,3.41,0.43,10.14,57046.2769,1942.660118,-1121.400352,18866.97369,2101.97,49.78,9.54,121.72,11.32,0.96,2.44,514.6875447,74.02,372.05,22.65,65.7810101,96.42705499,146.8555452,21.34433178,410.5442684,5.58,8.47
(주)경동나비엔,9450,201912,199308,,0,0,0,제조업,1,4.491554633,12.54034481,7.475450799,6.542777793,8.76,9.859214268,3.6,0.46,7.08,60778.68803,2186.276395,6166.239361,19981.93023,2266.35,50.38,7.85,102.91,11.06,10.41,32.91,514.6875447,72.44,357.2,25.23,59.71714055,102.5306941,142.0428449,18.0314353,395.5501285,5.37,8.18
(주)경동도시가스,267290,201812,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,9.5721968,91.9526393,8.887311773,77.87372983,0.0,96.89878415,2.13,-0.14,10.52,340578.8447,7242.81147,25589.06379,67576.15915,2615.41,117.83,31.25,75.7,98.82,15.3,508.84,1.902276506,33.24,35.84,6.57,37.79270455,352.2170758,1156.227437,0.0,2801.01444,711.59,6.27
(주)경동도시가스,267290,201912,201705,,0,0,0,"전기, 가스, 증기 및 공기조절 공급업",0,-3.632435028,-27.88381772,5.966477764,-11.4422898,0.36,-34.23110873,1.73,-0.17,7.92,241324.8273,4179.245331,5762.686404,57282.22959,2202.7,122.62,30.73,73.64,29.28,18.85,293.7,1.802541829,30.15,32.48,6.74,42.53536278,311.4332734,1160.551049,0.0,2688.683453,711.59,6.32
(주)경방,50,201212,195603,,0,0,0,도매 및 소매업,1,-1.27812549,-599.2864954,-1.429271596,-4.169505485,-2.36,-67.30722888,-2.37,5.93,0.15,160394.6173,-2136.550778,8552.433173,178680.7624,5878.49,42.91,6.86,149.63,0.36,0.22,0.38,-128.2184154,25.84,142.75,24.2,29.51595354,130.4741105,521.1986183,78.67348532,2248.221071,5.3,10.74
(주)경방,50,201812,195603,,0,0,0,도매 및 소매업,1,2.178154161,-20.24904958,1.378172567,-2.591495439,-8.15,-3.14229528,5.74,2.26,4.12,12819.0941,736.423205,441.1372202,26597.8048,5111.54,37.34,3.81,217.15,5.13,5.9,11.36,-140.8867154,35.35,234.72,27.89,23.07595968,191.7747835,463.9242424,12.35004978,2654.859307,7.66,9.35
(주)경방,50,201912,195603,,0,0,0,도매 및 소매업,1,5.296514762,116.063749,4.625461321,-2.147411809,-27.47,-21.86255597,12.68,2.52,2.87,12543.81536,1591.143585,2439.344387,27018.95695,5391.92,121.4,6.76,195.05,3.59,6.28,12.59,43.19498993,94.48,308.43,37.0,15.2796103,311.5045174,250.4285714,1.645262548,5004.88417,7.55,8.79
(주)경보제약,214390,201812,201506,,0,0,0,제조업,1,8.177694708,-26.98423063,5.301809356,5.051733585,9.76,-29.77255664,6.51,0.44,62.82,8422.000882,548.6311879,-47.60805058,6233.022655,1146.61,108.83,7.19,423.11,19.43,16.99,28.97,-77.17248072,90.88,323.2,34.22,54.37515295,153.0973778,169.9933333,47.36883778,492.4955556,3.97,3.46
(주)경보제약,214390,201912,201506,,0,0,0,제조업,1,7.30689031,-59.7040313,0.101561507,-4.786547569,9.78,-64.1267999,2.76,0.67,62.57,8018.877803,221.0762518,990.0133685,6239.380663,1147.87,73.81,8.08,328.3,4.77,12.71,19.97,-74.34532564,74.62,330.57,33.1,64.77021797,128.4420243,178.3724696,38.85492105,481.4109312,3.31,3.37
(주)경인양행,12610,201212,199510,,0,0,0,제조업,1,-10.05775418,-27.46951177,-0.739578233,-6.21651728,-2.91,-42.68561246,0.96,1.24,64.89,5829.457467,55.82642667,554.7155467,4323.013333,772.58,80.65,11.88,374.92,1.26,13.62,22.48,134.9081999,40.74,193.11,23.12,68.01136024,81.5773297,183.2697548,16.69931608,656.8010899,2.64,4.08
