회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,순이익증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,유동비율,당좌비율,현금비율,매출채권 대 매입채무비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,설비투자효율,기계투자효율,노동소득분배율,종업원1인당부가가치율_계산,노동장비율_계산,기계장비율_계산,자본집약도_계산,재고자산회전률,매출채권회전률
(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,80.33282474,-124.9094742,4.65013396,29.45408102,0.0,-116.0852395,-4.78,-0.91,-3.62,6.45,7.75,596.9211617,-165.7002906,910.174308,649.7428548,34.11,156.01,152.69,48.38,2189.35,-0.68,9.52,53.92,27.93,5.933525597,-3.22,-148.46,-80.17830516,-88.28790698,352.5666667,0.0,4535.5,5.18,1.84
(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-88.25266102,-7.519747157,-9.364472804,-19.81,-50.60025987,-1.33,1.48,5.65,5.92,45.63,59879.70419,-2007.104595,-2422.444591,38826.60176,672.79,96.33,81.81,34.4,132.35,0.55,-0.99,-1.51,-1.77,-395.9502789,15.81,125.15,41.14505949,130.7116697,512.5709156,27.86247756,2103.094794,8.86,10.97
(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,1,-6.417614557,45.09492365,-8.106283961,-11.83400029,-5.42,-50.99375776,-0.78,0.78,2.95,6.45,45.51,52793.53982,-1102.00231,-1747.643045,38591.59739,610.26,92.89,83.75,29.88,96.91,0.27,-4.99,-6.56,-9.54,-128.5423834,19.11,156.53,39.22391682,185.285877,510.0820046,26.44570995,2254.406986,8.72,9.73
(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,-260.7016498,0.229277913,-17.1965321,-3.77,-69.82421494,-3.24,0.45,1.35,6.45,85.36,6397.879857,-622.4731429,25.54571429,8023.0,852.03,58.36,45.92,5.22,2189.35,0.12,2.62,20.09,5.35,-29.87167,11.62,358.35,50.38883707,238.3558824,689.6666667,18.91531373,2665.235294,4.99,4.83
(주)MH에탄올,23150,201212,199612,,0,0,0,제조업,1,0.133347887,767.8950912,-7.005543678,33.45531496,1.96,692.7769383,0.21,4.06,13.24,6.45,85.99,8538.310714,41.05271429,-700.886,8387.571429,787.71,61.27,36.07,0.98,2189.35,1.08,-2.5,-3.09,-3.95,-65.0537565,21.39,728.46,37.65607508,220.6909615,661.9807692,14.56415385,2676.942308,3.94,6.33
(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,80.33282474,-47.10576862,68.03111037,6.299170553,11.63,-31.64573325,1.5,2.84,9.53,-1.46,90.08,7044.378782,583.8656664,452.2434427,8768.553502,1410.23,50.4,41.69,7.8,2189.35,3.46,1.98,3.07,14.99,-5.335214014,3.65,614.75,38.05332824,310.0485417,821.2291667,48.13139583,2238.270833,9.33,4.99
(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-379.3230748,-14.27578638,40.05363551,4.17,-84.86820585,-2.56,0.26,1.24,6.45,90.73,9865.908584,-1630.871532,-1527.360478,9279.902246,1355.58,50.4,33.38,4.89,1679.28,0.1,-1.14,-1.81,-5.45,-5.86347243,4.32,814.98,35.78520565,320.945,811.72,41.35938,2193.14,11.99,6.8
(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,37.24113362,-13.31695475,11.10431097,-6.0,537.4432098,-1.69,1.76,9.16,6.45,90.73,10961.44975,-1023.516486,1540.813301,8060.959601,1277.63,50.4,33.38,3.21,1797.11,0.73,0.01,0.02,0.06,-3.275407124,5.62,1121.61,30.96013195,108.437234,874.9148936,42.81595745,2150.191489,11.0,8.08
(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,310.0069296,3.08790843,14.98935662,-1.8,23.48991936,1.8,4.16,6.57,0.77,4.5,1553.726486,16.15512027,52.25331551,578.5704066,15.02,147.77,115.16,15.37,2189.35,2.82,8.32,11.28,1.9,68.27316507,44.34,108.63,59.35306122,130.4706422,303.8073394,120.0100642,939.293578,20.16,6.81
(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,-88.29221109,-0.553511841,11.97438295,2.75,-47.59504828,0.2,2.1,3.36,0.65,6.05,1745.097978,1.897193583,-7.699526588,583.8494619,14.69,171.22,123.05,7.42,1264.27,1.72,6.4,8.7,1.28,67.63899015,45.27,108.26,70.259756,117.5369643,291.1428571,119.7342411,915.1160714,15.32,6.81
(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,0.661449466,-45.20426063,3.46298736,-13.86592358,0.0,-41.15662483,7.91,11.35,13.39,-0.1,40.46,1692.594085,88.888442,127.8424185,951.2151121,90.76,1045.09,816.13,292.43,1678.27,162.17,73.48,364.34,6.88,25.19837753,94.63,223.37,50.02467638,184.1913514,209.1689189,88.10779054,832.8513514,11.92,5.24
(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-79.41534298,-2.138086884,-2.400691212,5.41,-85.18771344,1.64,1.7,1.97,-0.11,39.13,1651.960128,18.29738091,46.81270776,936.3419724,87.25,1045.09,933.26,292.43,2189.35,22.72,56.94,277.3,5.29,28.13395368,67.41,164.52,75.98243207,127.2395513,191.75,77.61636538,774.974359,8.69,6.5
(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-251.9569526,-6.064011679,-23.28239559,1.28,-249.053849,-2.51,-2.55,-3.06,-0.2,35.02,1267.344236,-27.80414243,144.6976537,876.2465702,76.79,1045.09,887.83,292.43,1864.22,-21.15,43.59,121.45,7.56,22.03406348,44.32,102.46,107.577529,82.02468354,209.6582278,214.4488861,766.6202532,7.22,6.14
(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,24.12474967,30.34391494,19.08811364,11.74,18.41861158,8.61,9.42,17.4,-0.29,20.24,7404.719008,858.747719,633.5605473,5357.861504,1075.2,130.69,108.07,54.55,160.8,20.93,14.71,47.94,9.7,73.71498705,74.79,533.38,33.45089233,185.7798054,243.9766537,39.1939572,1155.459144,9.05,3.66
(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,-22.7843423,11.19897057,4.637518481,7.0,-7.880603224,6.13,8.0,14.12,-0.95,17.53,7748.114221,663.0876992,452.3649279,6114.163953,1205.3,140.97,117.58,22.15,170.02,15.51,12.07,39.15,7.01,57.09740249,59.15,353.46,41.96925117,165.4670909,233.3927273,45.03183273,1117.698182,8.7,3.61
(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-8.784458112,-20.3174487,0.170358502,-13.64390495,-0.33,-50.36145424,3.23,2.93,4.86,0.37,8.35,7929.702827,443.380858,-328.1269936,7694.088948,1643.73,115.32,85.28,23.55,260.25,10.1,9.16,23.27,5.57,196.0746752,25.07,218.27,60.24502511,109.5472459,230.8295082,53.86762951,1124.606557,5.41,3.21
(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.86293087,436.6018391,80.64191091,32.74267069,48.62,-12.88556978,13.02,1.92,3.02,0.5,17.66,4679.093286,1057.604614,570.9998222,6283.402738,1277.69,135.98,87.82,49.22,157.58,4.07,5.64,12.26,4.54,133.843675,32.0,292.53,27.54291805,189.48468,312.626,72.253562,1256.668,4.1,4.23
(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,-86.28943106,1.416586295,40.48147167,-1.8,9.329672564,1.39,1.64,2.54,0.35,15.52,6573.259108,145.0036097,572.6821363,6407.138943,1296.53,131.76,91.59,58.26,163.65,3.47,15.72,29.05,8.7,126.4836825,24.96,199.32,57.1257515,103.31222,311.6150713,61.88545214,1239.700611,4.34,7.08
(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,9.49985093,-249.7925639,-3.661690281,-8.657168282,2.22,-183.0175364,-1.57,-2.49,-4.02,0.15,76.67,27569.43457,-586.5906277,-2422.444591,22668.28445,4775.29,151.52,135.46,21.28,137.93,-9.21,-14.12,-47.99,-8.38,-16.06388016,-4.14,-87.81,0.0,-27.57027174,666.2282609,31.39891304,1502.782609,18.73,4.55
