회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,총자본증가율,순이익증가율,자기자본증가율,종업원수증가율,정상영업손익증가율,매출액정상영업이익률,매출액순이익률,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,총자본투자효율,설비투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,유동자산회전률,당좌자산회전률,재고자산회전률,자기자본구성비율,총자본회전률,타인자본회전률,순운전자본회전률
(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,20.09917439,96.26025543,17.12351472,-73.0,780.7008007,0.38,-1.38,-1.19,0.33,0.37,1.15,-1.43,100.68,-6.03,1218.293476,-16.86360405,79.17653217,1129.686014,128.93,14.07,39.24,4.84,6.16,10.2,251.09,12.98,79.24722726,54.86666667,1.05,1.23,7.2,87.66380762,0.86,7.57,0.94
(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,-1.751499457,-274.8984821,0.053133214,44.44,-2473.26904,-9.63,-5.47,-4.11,-7.24,-8.18,1.56,-0.54,104.45,8.13,1155.087015,-63.22139561,-76.12997511,1229.622096,133.16,12.01,0.93,0.1,0.13,4.8,135.68,6.33,120.8459936,160.5933333,0.96,1.13,6.55,89.2740202,0.75,6.51,0.85
(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,89.07604564,110.710524,44.39009507,-23.08,287.8921316,6.3,62.82,26.79,2.69,3.56,38.07,-0.61,61.22,30.22,823.8377463,517.5458123,29.81279375,1677.785632,244.51,46.68,-2.3,-0.73,-2.24,25.56,380.46,78.38,16.20042042,672.0003333,0.74,0.88,4.82,68.17513144,0.43,1.74,0.68
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,0.69177729,-91.93203097,1.563205887,16.67,4.048002791,6.29,4.86,1.65,2.13,3.11,2.41,1.01,95.23,31.17,429.4147353,20.87771792,27.76181181,857.7051966,74.95,45.42,5.37,1.68,4.97,7.08,64.47,20.96,54.12754945,127.8877143,0.7,0.83,4.53,68.76514743,0.34,1.07,0.66
(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,6.174930033,-452.2282032,-2.840375748,-14.29,-153.8633857,-3.59,-18.13,-5.61,-1.11,-1.69,-5.54,2.29,115.62,28.8,405.6015052,-73.53721068,-16.18792122,799.0936998,68.98,58.92,1.16,0.43,1.43,1.04,7.67,3.45,340.5431111,5.900333333,0.7,0.86,3.84,62.92630364,0.31,0.9,0.49
(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,312.6611959,-124.9094742,4.65013396,0.0,-116.0852395,-5.99,-31.5,-4.78,-0.91,-3.62,-21.76,7.25,132.18,7.75,526.0459375,-165.7002906,910.174308,649.7428548,34.11,526.65,9.52,8.0,84.97,-0.12,-3.22,-1.28,-118.7980449,-218.6223333,0.22,0.23,5.18,15.95799695,0.15,0.2,0.13
(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,54.08478725,-83.70571571,-6.132879872,-20.0,125.3690776,12.79,-31.35,-4.29,1.75,14.37,-39.39,4.05,124.44,-34.12,594.7501558,-186.4640143,-275.8787573,537.8172761,1.9,928.65,2.96,2.67,23.68,0.53,13.0,4.67,-91.16982721,-983.0504167,0.24,0.24,9.46,9.721473764,0.14,0.16,0.11
(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,-7.11947049,-88.25266102,-7.519747157,-19.81,-50.60025987,3.73,-3.35,-1.33,1.48,5.65,-5.07,5.92,102.53,45.63,59879.70419,-2007.104595,-8320.579252,38826.60176,672.79,276.93,-0.99,-0.73,-1.77,7.02,15.81,17.09,41.14505949,130.7116697,1.12,1.29,8.86,26.53023869,0.4,0.54,0.52
(주)HJ중공업,97230,201212,200708,,1,0,1,건설업,-6.417614557,45.09492365,-8.106283961,-5.42,-50.99375776,2.08,-2.09,-0.78,0.78,2.95,-2.95,6.86,100.5,45.51,52793.53982,-1102.00231,-1747.643045,38591.59739,610.26,283.85,-4.99,-3.69,-9.54,8.26,19.11,21.33,39.22391682,185.285877,1.09,1.25,8.72,26.05150755,0.37,0.51,0.53
(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,4.630769807,-260.7016498,0.229277913,-3.77,-69.82421494,1.35,-9.73,-3.24,0.45,1.35,-9.74,8.83,106.81,85.36,6397.879857,-622.4731429,25.54571429,8023.0,852.03,214.54,2.62,1.79,5.35,6.51,11.62,19.52,50.38883707,238.3558824,0.98,1.22,4.99,31.7922205,0.33,0.5,0.36
