회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,수지비율,사내유보 대 자기자본비율,1주당매출액,1주당순이익,1주당 CASH FLOW,1주당순자산,유보율,자기자본구성비율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,종업원1인당부가가치율_계산,자본집약도_계산,총자본회전률,타인자본회전률,유동자산회전률,재고자산회전률,순운전자본회전률,유동비율,당좌비율,현금비율,총자본투자효율,당좌자산회전률
(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-12.22,-27.74,5.3,113.85,-92.25,12865.19095,-2238.020276,1415.296649,6796.055027,80.99,25.69227832,289.22,-0.75,5.87,7.39,4.36,9.47,29.75,78.9,39.45,62.53392133,84.5009739,461.2220491,0.43,0.59,1.87,7.04,0.72,51.15,33.02,5.04,18.17,2.54
(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,-9.3,-12.61,-0.98,108.28,-7.97,2296.513946,-206.352504,47.6565362,1684.054379,227.25,70.74248312,41.36,-21.04,6.82,1107.72,2.0,2.08,279.2,1125.26,22.56,96.36475949,33.59337553,190.8565401,0.96,3.29,1.57,10.05,1.09,230.24,194.35,21.35,21.71,1.86
(주)ES큐브,50120,201212,200204,,0,0,0,도매 및 소매업,1,0.22,0.29,-0.65,100.19,1.22,2392.628947,-15.35560098,223.3456039,1704.814715,235.11,86.12413859,16.11,1.72,81.36,3052.28,11.29,9.33,565.49,2009.57,32.14,71.07159012,49.22597458,189.3050847,1.21,8.17,2.46,11.55,2.03,472.77,371.91,84.78,38.87,3.13
(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,-2.83,-40.47,-0.52,126.45,-31.95,1605.700752,-450.9293014,70.99873549,1197.835462,128.55,89.89100903,11.25,-21.04,82.01,2558.09,8.29,6.67,65.87,225.06,2.45,170.9206997,-57.2254,475.1,1.25,8.17,1.92,10.55,1.69,1056.51,883.95,278.73,3.04,2.35
(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,0.37,1.15,-1.43,100.68,-6.03,1218.293476,-16.86360405,79.17653217,1129.686014,128.93,87.66380762,14.07,22.2,39.24,102.05,4.84,6.16,251.09,857.87,12.98,79.24722726,54.86666667,1663.481481,0.86,7.57,1.05,7.2,0.94,769.89,668.53,305.29,10.2,1.23
(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-8.18,1.56,-0.54,104.45,8.13,1155.087015,-63.22139561,-76.12997511,1229.622096,133.16,89.2740202,12.01,-11.86,0.93,2.88,0.1,0.13,135.68,575.47,6.33,120.8459936,160.5933333,1208.307692,0.75,6.51,0.96,6.55,0.85,765.67,639.55,305.29,4.8,1.13
(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,3.56,28.06,-0.61,71.93,30.22,823.8377463,517.5458123,29.81279375,1677.785632,244.51,68.17513144,46.68,8.98,-2.3,-2.58,-0.73,-2.24,380.46,11735.41,65.0,16.20042042,672.0003333,3482.0,0.43,1.74,0.74,4.82,0.68,1062.09,940.6,305.29,25.56,0.88
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,3.11,2.41,1.01,95.23,31.17,694.7452343,20.87771792,27.76181181,857.7051966,74.95,68.76514743,45.42,2.86,5.37,6.21,1.68,4.97,64.47,1606.97,20.96,54.12754945,127.8877143,2995.714286,0.34,1.07,0.7,4.53,0.66,1062.09,940.6,305.29,7.08,0.83
(주)ES큐브,50120,201812,200204,,0,0,0,도매 및 소매업,1,-1.69,-5.54,2.29,115.62,28.8,694.7452343,-73.53721068,-16.18792122,799.0936998,68.98,62.92630364,58.92,-0.82,1.16,1.34,0.43,1.43,7.67,278.71,3.45,170.9206997,5.900333333,3616.066667,0.31,0.9,0.7,3.84,0.49,119.8,95.25,71.07,1.04,0.86
(주)ES큐브,50120,201912,200204,,0,0,0,도매 및 소매업,1,-3.62,-21.76,5.3,128.63,7.75,694.7452343,-165.7002906,910.174308,649.7428548,34.11,19.72428395,388.92,-0.68,9.52,53.92,8.0,28.6,-3.22,-62.13,-1.28,-49.52426252,-75.62221774,4535.5,0.26,0.58,0.51,5.18,0.34,156.01,152.69,48.38,-0.12,0.56
(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,14.37,-39.39,4.05,124.44,-34.12,694.7452343,-186.4640143,-275.8787573,594.1197573,18.83,19.72428395,388.92,3.09,2.96,270.39,2.67,23.68,13.0,1164.79,4.67,-49.52426252,-75.62221774,3416.458333,0.26,0.58,0.51,9.46,0.34,61.5,59.7,2.11,0.53,0.56
