회사명,index,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,시장구분,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,부가가치율,종업원1인당부가가치율_계산,자기자본회전률,타인자본회전률
삼영전자공업(주),2463,005680,201212,197612,,0,0,0,KOSPI,제조업,1,-2.789409513,-0.246784658,-10.85463675,-5.9,-49.06010148,2.49,-1.59,431.08985,1023.05,790.63,8.48,111.32,11.61,17.33,27.54,70.2740374,0.753724056,7.98
현대에너지솔루션(주),3859,322000,201912,201911,,0,0,0,KOSPI,제조업,1,74.08096238,33.07602191,28.32950964,0.0,58.67774225,4.58,-0.07,2102.446607,227.74,150.49,51.37,9.96,3.65,7.75,8.36,183.5512745,1.636257694,2.73
삼성전자(주),2413,005930,201112,197506,,0,0,0,KOSPI,제조업,1,15.89299994,13.98585241,6.70725021,6.6,-2.233995125,11.21,-0.04,16360.35769,161.33,125.87,52.81,43.45,14.16,29.05,27.4,291.9347357,1.447686346,3.34
삼양식품(주),2439,003230,201812,197506,,0,0,0,KOSPI,제조업,1,3.506064589,15.41740063,2.371267853,-1.48,27.36986948,13.62,0.11,4686.64021,93.52,76.59,75.81,22.95,8.69,35.47,31.15,90.32602451,2.408958722,2.52
웰바이오텍(주),2970,010600,201312,199707,,0,0,0,KOSPI,도매 및 소매업,1,-0.947002123,12.89812918,0.741710201,0.0,-39.75912488,3.15,0.39,169.6427936,233.47,85.04,50.48,9.91,1.48,15.9,7.07,173.4979412,3.612123894,5.95
무림페이퍼(주),2266,009200,202012,199006,,0,0,0,KOSPI,제조업,1,1.687911952,-6.259524567,-15.49057106,0.21,-60.38163257,1.25,3.09,-909.6226782,86.12,63.28,240.39,5.6,9.15,7.37,17.05,139.9131092,1.658073415,0.63
태양금속공업(주),3414,004100,201512,197605,,0,0,0,KOSPI,제조업,1,1.578609457,1.340892336,1.464981595,0.16,5.587365974,3.57,1.43,98.79765,98.51,61.83,267.74,3.98,2.22,22.44,17.22,87.11380282,4.959873789,1.8
(주)엔케이,882,085310,201112,200801,,0,0,0,KOSPI,제조업,1,15.26514193,12.46148748,-0.915375699,21.19,310.9993705,4.13,5.3,-32.79854152,98.7,57.99,175.06,3.17,3.36,9.18,15.25,100.625082,1.655949042,0.95
대림비앤코(주),1954,005750,201712,199212,,0,0,0,KOSPI,제조업,1,1.390645486,3.152336283,11.38112067,9.96,-15.55707428,4.0,0.96,404.0164369,124.52,86.86,91.34,7.93,4.96,20.11,26.31,52.69294498,1.393057461,1.6
디에스알(주),2182,155660,201812,201305,,0,0,0,KOSPI,제조업,1,-1.421931514,4.681522503,4.263255188,-0.56,-28.6921394,4.37,0.24,501.19625,163.29,77.22,52.59,7.08,2.33,15.46,14.74,148.6696023,1.65000928,2.86
롯데쇼핑(주),2204,023530,201412,200602,,0,0,0,KOSPI,도매 및 소매업,1,2.821882468,3.65509813,-0.397477685,3.48,-19.98855086,3.01,0.53,16360.35769,119.48,94.26,128.41,6.57,5.27,12.67,18.06,113.3368124,1.728469337,1.26
페이퍼코리아(주),3474,001020,201212,197605,,0,0,0,KOSPI,제조업,1,3.949485373,3.862566601,3.385882876,-8.66,174.3415233,4.5,5.3,31.3627481,51.15,33.02,253.6,-3.18,-3.89,15.58,26.51,285.0632701,2.087170963,0.84
(주)우진플라임,1013,049800,201812,200605,,0,0,0,KOSPI,제조업,1,-8.122037958,-17.76081482,-25.12804267,-9.59,-289.4196603,-3.92,3.39,-1359.6004,117.54,55.15,331.16,-0.26,-0.33,14.13,23.65,54.93860606,2.851202677,0.76
(주)엘엑스인터내셔널,907,001120,202012,197603,,0,0,0,KOSPI,도매 및 소매업,1,10.66369539,13.54208798,7.138785286,1.79,18.58600683,3.11,0.25,9329.373039,125.59,99.98,206.88,6.59,2.13,18.58,8.89,685.3952381,6.550720162,3.24
(주)MH에탄올,10,023150,202012,199612,,0,0,0,KOSPI,제조업,1,-0.397605002,1.305491938,17.02028807,14.89,101.5802193,3.5,5.3,515.3906078,51.15,33.02,388.92,4.11,16.04,10.06,47.78,205.4540741,1.184438162,0.58
(주)케이씨씨,1238,002380,201712,197306,,0,0,0,KOSPI,제조업,1,4.162770891,-1.687110643,10.70057218,0.9,0.995724819,3.53,0.62,4006.970294,94.19,73.08,62.69,10.39,9.89,8.54,21.08,129.9380977,0.589829681,1.12
(주)락앤락,371,115390,202012,201001,,0,0,0,KOSPI,제조업,1,-2.093750448,-2.731052326,3.290574882,0.34,18.96550015,3.65,-0.51,221.7708889,590.63,391.91,17.71,50.68,11.9,19.43,30.31,72.97341794,0.744046582,4.29
(주)현대리바트,1526,079430,201412,200511,,0,0,0,KOSPI,제조업,1,3.768031034,13.45784836,15.92058869,-15.54,166.6673918,10.09,-0.17,1560.559506,179.98,117.96,57.69,17.12,3.36,21.11,11.34,143.8663196,2.908800569,4.83
진원생명과학(주),3260,011000,201812,198711,,0,0,0,KOSPI,제조업,1,8.024276517,-19.51310698,26.20838701,28.57,54.71319368,-10.89,3.08,-561.8970247,202.97,161.36,67.62,-19.54,-13.66,17.82,25.61,-75.62221774,0.750668629,2.37
(주)이수화학,1093,005950,201112,198804,,0,0,0,KOSPI,제조업,1,9.31161277,-3.66718536,18.6319781,2.98,-4.158941031,6.6,1.17,1427.137473,127.3,99.26,160.85,4.17,1.49,12.08,6.99,241.6774277,6.550720162,3.05
애경산업(주),2795,018250,201912,201803,,0,0,0,KOSPI,제조업,1,10.08630094,9.507714039,0.250479256,8.23,-23.4547838,14.07,-0.09,1576.795891,296.75,208.65,33.4,32.57,5.25,35.9,23.11,159.2765846,2.263232229,6.55
(주)대웅제약,223,069620,201912,200211,,0,0,0,KOSPI,제조업,1,3.131341742,4.624910653,7.950001419,4.95,81.90503704,3.64,0.66,2491.297558,200.8,133.03,95.88,8.62,4.72,17.49,19.57,116.8798429,1.79046309,1.84
금호석유화학(주),1871,011780,201712,198801,,0,0,0,KOSPI,제조업,1,0.741292117,13.24742242,27.56231204,-2.14,67.19629113,5.76,1.15,6498.649838,69.63,47.33,134.05,13.68,7.09,16.02,14.48,380.8105712,2.341300335,1.86
상신브레이크(주),2558,041650,201412,200410,,0,0,0,KOSPI,제조업,1,12.52492876,13.44712118,10.20646086,0.47,2.135476752,9.36,1.05,881.5769778,100.6,62.18,165.28,11.2,6.25,34.92,31.26,119.6529688,3.311490822,1.89
동화약품(주),2137,000020,201612,197603,,0,0,0,KOSPI,제조업,1,2.33852784,9.911255778,6.393130756,-2.91,133.9371457,3.51,-0.4,939.9547535,273.19,225.27,28.34,31.61,9.54,29.86,40.82,145.1202395,0.970770592,2.99
디아이동일(주),2169,001530,201312,196401,,0,0,0,KOSPI,도매 및 소매업,1,8.067623594,1.324030418,2.771605849,-0.33,104.2344009,2.93,0.8,6675.407804,105.71,51.53,74.87,4.55,2.51,11.13,14.32,42.61092282,1.311116643,1.97
(주)남성,141,004270,201112,198911,,0,0,0,KOSPI,도매 및 소매업,1,-8.042526361,3.752875794,-19.42786599,-11.94,-110.7135081,-0.15,5.3,-503.1691012,63.88,42.43,157.95,-2.45,-5.06,4.98,16.78,164.169322,0.765485131,0.58
(주)사조오양,505,006090,201912,198612,,0,0,0,KOSPI,제조업,1,0.929781938,7.613443352,5.892396048,10.18,81.12165396,7.3,0.56,1402.437338,86.8,36.59,85.7,12.52,5.73,22.87,22.69,83.22281871,1.940193647,2.12
(주)포스코케미칼,1359,003670,201912,201905,,0,0,0,KOSPI,제조업,1,78.27578096,32.7365581,7.24023872,22.4,-15.46995907,6.71,0.11,1658.736736,259.18,184.02,71.93,10.18,4.97,18.82,21.95,174.3630499,6.550720162,3.25
(주)엘엑스하우시스,916,108670,201912,200904,,0,0,0,KOSPI,제조업,1,2.225950845,-0.083883558,-2.43958664,0.63,-2.265137628,2.71,0.95,1156.5,104.92,75.04,180.09,14.71,7.62,24.85,20.01,147.2159624,3.477670682,1.97
한솔피엔에스(주),3709,010420,201212,198905,,0,0,0,KOSPI,도매 및 소매업,1,-2.078491812,5.04863192,-2.700636427,-23.82,594.6717064,2.8,0.3,17.4183462,125.7,115.03,172.9,7.94,2.57,24.05,12.28,98.16345679,5.771492398,3.0
일진다이아몬드(주),3098,081000,201712,200412,,0,0,0,KOSPI,제조업,1,7.13650248,15.62248801,14.0915828,0.0,79.72984602,7.57,0.42,652.6841033,193.61,113.72,60.04,22.43,10.67,29.07,36.89,88.62518433,1.310319137,2.05
한국단자공업(주),3515,025540,201212,199610,,0,0,0,KOSPI,제조업,1,4.432901486,9.915011226,5.2644258,11.34,15.03370901,9.66,-0.43,2871.541239,256.85,194.9,25.98,52.67,11.22,21.5,22.2,105.318836,1.274120676,4.39
한국제지(주),3572,002300,201212,197106,44025.0,0,0,0,KOSPI,제조업,1,-3.207729786,1.582027547,-0.187509355,1.42,16.53212381,1.12,-0.12,2235.733471,232.17,178.47,30.81,28.58,6.55,9.64,9.38,119.6629459,1.368356714,3.98
(주)코리아써키트,1264,007810,201212,198509,,0,0,0,KOSPI,제조업,1,10.20868704,15.54525443,29.22318914,12.93,594.6717064,10.04,0.74,1927.727197,127.24,90.83,61.23,26.74,9.04,25.61,22.79,168.1346421,1.619959984,3.0
삼호개발(주),2506,010960,201212,200505,,0,0,0,KOSPI,건설업,1,4.822787071,6.763443696,15.05227026,8.06,219.1452351,5.03,-1.24,336.61996,159.44,151.47,73.48,17.24,7.11,15.85,15.42,112.768678,1.654668175,2.43
현대엘리베이터(주),3867,017800,201712,199607,,0,0,0,KOSPI,제조업,1,8.545032083,5.587396919,13.35625084,0.37,-25.49004747,6.16,0.84,3207.191812,123.43,118.42,173.88,8.65,6.3,17.71,20.32,154.7784375,2.454906223,1.44
(주)풍산,1379,103140,201912,200807,,0,0,0,KOSPI,제조업,1,-3.958209958,0.325519666,-11.6487391,-3.88,-61.72816014,1.57,1.17,628.9392719,163.12,59.68,85.18,12.0,5.77,18.16,18.99,108.9754864,2.064007706,1.99
(주)화승인더스트리,1589,006060,201212,199102,,0,0,0,KOSPI,제조업,1,-4.037142866,-1.197286284,-7.15507964,-17.63,-23.934984,2.65,1.1,75.52715112,93.43,65.92,233.46,4.05,2.31,26.52,21.66,124.2214381,4.34502886,1.7
세방전지(주),2629,004490,201512,198711,,0,0,0,KOSPI,제조업,1,7.939735222,9.880767299,0.070910266,5.78,17.66117365,9.52,-0.65,5615.733429,317.4,263.26,30.38,29.06,7.09,20.97,21.96,229.509071,1.418776506,4.1
팜젠사이언스(주),3466,004720,201112,199006,,0,0,0,KOSPI,제조업,1,-19.77917439,-23.03924509,-36.45825804,-7.57,-233.4261541,-9.1,4.9,-139.1513957,145.55,117.76,129.11,11.99,10.37,4.65,7.14,10.04070175,0.695093664,1.16
한국쉘석유(주),3550,002960,201712,198808,,0,0,0,KOSPI,제조업,1,6.484393625,2.181105267,-0.173324779,0.91,-14.36838352,20.54,-0.32,16360.35769,356.27,276.9,31.68,78.87,11.8,33.52,20.85,395.3897297,2.172298428,7.37
(주)엘에스네트웍스,887,000680,201112,197311,,0,0,0,KOSPI,도매 및 소매업,1,9.416446729,-5.594924639,19.41666852,26.97,-76.84213669,0.45,3.06,263.214926,240.7,67.44,69.39,2.85,3.45,6.36,18.81,127.6857699,0.572989904,0.93
(주)무학,416,033920,201512,201007,,0,0,0,KOSPI,제조업,1,4.233367346,5.028986843,1.935047055,15.09,-19.38519101,12.04,-0.09,1025.367936,53.4,45.17,27.73,85.46,28.6,16.84,31.71,170.8655431,0.69508686,2.46
한일건설(주),3739,006440,201112,199301,41380.0,0,0,0,KOSPI,건설업,1,-22.36308992,102.2875763,34.32031029,-16.93,314.5350535,3.73,3.39,106.4170066,184.17,167.18,388.92,3.03,2.65,12.07,12.27,44.37882166,0.550853317,0.85
일진머티리얼즈(주),3105,020150,201112,201103,,0,0,0,KOSPI,제조업,1,31.7266956,102.2875763,10.44339182,34.11,-64.91087207,3.46,0.05,345.4218622,154.23,53.31,35.21,4.8,1.68,14.73,19.76,91.35215318,1.699285325,2.16
일진디스플레이(주),3102,020760,201112,200201,,0,0,0,KOSPI,제조업,1,26.02731537,74.82449147,82.96258463,44.64,177.2306453,20.54,0.83,1130.68901,121.27,85.92,101.75,13.06,3.68,31.27,17.46,96.16789474,0.903934347,3.52
KISCO홀딩스(주),1669,001940,201512,198911,,0,0,0,KOSPI,제조업,1,1.985285902,6.433165068,-6.205840628,-4.17,594.6717064,6.48,-0.94,16360.35769,456.05,385.24,17.06,58.71,11.07,15.45,19.99,685.3952381,1.023770421,4.78
한국항공우주산업(주),3634,047810,201312,201106,,0,0,0,KOSPI,제조업,1,4.4146956,8.365106996,31.39126942,5.86,-0.970125949,6.44,0.35,927.2366636,158.6,108.82,105.51,32.03,16.11,25.82,25.31,161.8174078,1.771138445,2.0
(주)금양,119,001570,201512,197612,,0,0,0,KOSPI,제조업,1,3.220707583,30.26244895,0.283191735,-0.98,32.76839495,4.21,1.24,367.8123577,121.07,98.69,185.41,19.29,13.04,21.13,21.98,118.8418812,3.104134036,1.42
참엔지니어링(주),3282,009310,202012,198711,,0,0,0,KOSPI,제조업,1,4.914269075,9.779747225,49.91221197,4.72,293.6162978,0.96,1.41,123.1364287,219.97,195.6,388.92,0.33,1.29,4.7,20.93,56.9312406,1.375834949,0.58
(주)노루페인트,160,090350,201812,200607,,0,0,0,KOSPI,제조업,1,2.640583248,2.934837363,11.48265015,0.76,-18.32727348,3.78,0.79,622.6862406,122.19,91.41,97.35,7.9,3.85,20.85,20.6,124.2958134,2.02600562,2.08
(주)일신석재,1130,007110,201212,198603,,0,0,0,KOSPI,도매 및 소매업,1,-3.758357977,0.701859105,-31.85866973,-10.71,-17.14756216,1.35,0.67,10.53939748,591.26,401.92,37.23,-2.33,-1.22,7.64,14.78,77.94466667,1.048907158,1.76
한화화인케미칼(주),3795,025850,201112,199511,42444.0,0,0,0,KOSPI,제조업,1,-16.93432571,-14.23113977,-35.8571804,2.94,-181.1751511,-10.89,-0.37,-2238.020276,83.98,64.31,41.97,-9.91,-2.71,-3.59,-4.71,-75.62221774,1.820828294,3.18
(주)엘지화학,937,051910,201512,200104,,0,0,0,KOSPI,제조업,1,2.488365009,6.829285075,-10.50254608,4.82,39.12284543,9.94,0.1,15541.68706,180.36,131.63,41.78,47.18,12.78,24.34,22.38,265.9459384,1.592990272,3.56
효성화학(주),3979,298000,201912,201807,,0,0,0,KOSPI,제조업,1,24.81580361,23.81500828,62.29545174,0.0,136.7687205,8.28,2.0,16360.35769,103.42,73.85,353.81,7.46,6.62,19.37,22.06,344.5574678,6.550720162,1.25
(주)에스제이엠,818,123700,201612,201005,,0,0,0,KOSPI,제조업,1,10.84898465,9.886845584,-1.947351287,-2.79,-38.81360084,7.31,-0.31,962.3752747,463.35,312.14,22.09,55.45,11.69,34.73,40.45,106.1601437,1.09749576,5.08
대원강업(주),1986,000430,201612,197706,,0,0,0,KOSPI,제조업,1,11.30873734,8.581478673,6.226879789,-3.33,13.04885319,4.88,1.02,744.2116774,80.79,63.81,132.48,12.76,8.7,23.13,27.69,166.2833704,2.024083959,1.56
부광약품(주),2341,003000,201712,198808,,0,0,0,KOSPI,제조업,1,-0.591017906,-1.551898126,8.747706298,-2.11,-10.10854998,3.24,-2.91,248.8669453,645.97,440.16,11.8,1.6,0.27,24.62,38.59,102.817798,0.630384678,6.29
한국화장품(주),3642,123690,201112,201006,,0,0,0,KOSPI,도매 및 소매업,1,11.48149264,-21.79062906,82.96258463,0.0,-303.2733638,-10.89,0.7,-1021.544561,72.08,52.33,106.5,-19.54,-13.66,0.63,1.1,51.52552326,2.3372951,1.1
(주)큐로,1278,015590,201112,198905,,0,0,0,KOSPI,제조업,1,14.10298543,-24.90295417,22.63232142,8.58,-356.1110787,-7.53,2.93,-379.9968177,86.2,83.66,356.55,-8.48,-7.32,5.46,6.03,23.69264822,3.695469746,1.32
(주)한섬,1454,020000,201612,199607,,0,0,0,KOSPI,제조업,1,8.413135259,5.890956116,15.44246456,12.49,8.966737762,7.22,-0.36,2292.972432,371.7,186.61,17.91,20.23,4.48,18.37,26.78,191.6872553,0.744858831,5.02
태광산업(주),3392,003240,201812,197512,,0,0,0,KOSPI,제조업,1,9.56658534,10.41881325,6.616949722,2.05,37.4448648,7.7,-0.6,16360.35769,269.66,243.79,28.46,35.32,11.34,15.15,21.94,256.12566,0.94800412,3.22
(주)시디즈,661,134790,201112,201101,,0,0,0,KOSPI,제조업,1,55.1544764,43.9577109,82.96258463,0.0,594.6717064,3.36,-1.84,968.1725,488.71,443.13,37.66,-1.14,-0.29,17.39,16.09,46.06216049,1.48778488,3.95
일성건설(주),3062,013360,201812,198912,,0,0,0,KOSPI,건설업,1,1.129260888,6.991420862,-13.50068934,5.96,-23.64887425,3.22,1.88,44.95750847,118.55,107.71,242.71,4.14,2.49,20.11,17.06,152.7699022,4.634190305,1.66
아세아제지(주),2766,002310,201112,198812,,0,0,0,KOSPI,제조업,1,2.876135895,-0.425756463,16.20303956,5.42,36.92053872,2.44,1.25,605.8349857,103.56,70.56,107.68,7.22,3.32,16.75,14.84,243.9085143,0.966582264,2.25
파미셀(주),3458,005690,201312,198805,,0,0,0,KOSPI,제조업,1,-22.36308992,-18.86280003,82.96258463,42.0,45.57553313,-6.48,4.46,-592.1155517,108.48,72.52,20.56,-19.54,-13.66,-3.59,-5.86,-75.62221774,0.348038399,1.29
(주)한라,1437,014790,201112,199408,,0,0,0,KOSPI,건설업,1,-22.36308992,-31.51271657,-38.67458151,5.43,-81.28225445,2.8,3.64,1073.1821,106.84,78.24,294.36,3.59,4.38,7.17,11.73,77.36481724,1.684163998,0.97
(주)화신,1610,010690,201312,199401,,0,0,0,KOSPI,제조업,1,-8.430822527,-8.694965021,-8.763766987,3.67,-32.92524976,8.12,0.26,46.26337434,133.1,96.95,133.61,9.51,2.87,23.81,12.54,149.5028228,4.456932245,3.18
(주)아모레퍼시픽,747,090430,201712,200606,,0,0,0,KOSPI,제조업,1,3.746100929,7.153410432,-9.239567937,-1.04,-29.67849215,11.3,-0.21,5766.795622,160.3,124.49,28.75,49.55,11.61,26.9,28.22,168.9478571,1.269529715,4.12
두산밥캣(주),2142,241560,201612,201611,,0,0,0,KOSPI,제조업,1,-0.610600494,7.24304202,-2.247680016,0.0,7.374347812,6.52,2.21,1798.82496,207.07,112.16,88.73,11.25,8.47,13.86,22.19,-44.09647059,3.815623844,1.27
기아(주),1892,000270,201912,197307,,0,0,0,KOSPI,제조업,1,6.8708752,6.367303365,7.34015087,-0.68,73.62621223,3.75,-0.01,4506.226361,124.77,77.83,90.99,15.33,6.95,16.87,16.06,205.8033917,2.002409109,2.28
조선내화(주),3184,000480,201212,197806,,0,0,0,KOSPI,제조업,1,1.177769812,2.439393782,8.472482969,0.72,-11.14262919,3.76,0.75,8629.1725,143.35,85.11,83.23,9.41,5.97,15.59,21.78,174.6700891,1.238783619,1.57
(주)플레이그램,1382,009810,201212,198808,,0,0,0,KOSPI,도매 및 소매업,1,-22.36308992,-31.51271657,-21.13269686,-24.0,-135.8852966,-2.13,-1.67,-270.0688771,1062.09,940.6,8.48,121.58,9.67,-3.59,-5.86,-75.62221774,0.348038399,6.88
(주)에스피씨삼립,849,005610,201512,197405,,0,0,0,KOSPI,제조업,1,7.194907809,13.5042071,24.02797506,-2.4,21.36696485,9.61,0.38,4359.561799,81.26,54.86,141.53,12.07,3.16,32.31,14.41,83.70777617,5.75626683,3.88
광동제약(주),1817,009290,201512,198911,,0,0,0,KOSPI,제조업,1,49.99867929,20.14396612,82.94094687,5.84,0.807013596,9.2,0.1,688.3360783,177.87,142.05,75.73,12.92,3.87,18.52,12.86,123.8463514,1.725904585,4.61
(주)지에스글로벌,1186,001250,201612,197606,,0,0,0,KOSPI,도매 및 소매업,1,65.65487623,74.7515344,12.89851589,1.72,25.95518513,3.42,0.62,194.7458982,90.59,72.94,274.42,3.7,1.41,18.7,9.71,155.2894492,6.550720162,3.25
(주)유니온,1054,000910,201112,199607,,0,0,0,KOSPI,제조업,1,-22.36308992,-25.74264997,11.94782537,2.88,-21.88176366,2.63,-1.68,564.6185374,147.46,78.17,42.15,12.59,9.12,9.75,23.82,131.67952,2.687253506,1.23
(주)케이티앤지,1256,033780,201412,199910,,0,0,0,KOSPI,제조업,1,4.491218596,6.178949288,8.427870815,-1.82,17.3366014,16.72,-1.16,5829.975152,396.24,219.33,29.43,40.73,16.53,25.73,45.91,367.2903608,0.721949491,2.45
(주)한화갤러리아타임월드,1510,027390,201412,199601,43937.0,0,0,0,KOSPI,도매 및 소매업,1,8.495603958,9.974361132,28.31481128,22.49,-6.743068155,8.51,-1.08,4076.148,51.15,33.02,43.93,25.24,19.63,18.81,47.95,190.6911166,0.497609999,1.32
(주)화인베스틸,1616,133820,201512,201407,,0,0,0,KOSPI,제조업,1,-12.11113247,-3.835981938,-17.01074172,-7.83,-77.37566767,2.41,1.98,37.67186916,71.02,33.02,120.54,-1.32,-0.75,13.01,13.56,144.84785,2.452575267,1.58
서울식품공업(주),2581,004410,201412,197312,,0,0,0,KOSPI,제조업,1,4.070028828,0.014802819,1.009323572,12.87,-24.06962908,2.34,1.82,18.65696433,84.1,55.43,108.65,10.7,6.6,22.41,26.57,59.56792746,1.762076538,1.68
호전실업(주),3924,111110,201812,201702,,0,0,0,KOSPI,제조업,1,0.801533616,4.119400319,-4.620558778,-13.25,-28.73873584,3.76,1.69,532.3751804,132.78,66.86,127.28,-3.84,-1.97,40.84,37.48,16.77167939,2.702987952,1.93
신일전자(주),2693,002700,201412,197509,,0,0,0,KOSPI,도매 및 소매업,1,51.30000823,53.81158995,-4.919868219,11.01,-102.4322075,-0.22,0.42,-25.12694725,184.53,127.65,73.95,-11.41,-3.87,10.93,8.72,86.94123967,3.926032328,3.52
제이더블유중외제약(주),3141,001060,201912,197606,,0,0,0,KOSPI,제조업,1,-3.4664243,-11.54094441,-4.811522399,3.73,-188.0919055,-3.26,2.18,-1168.15366,120.53,88.0,149.12,15.69,10.53,14.78,16.56,69.43433361,2.023712639,1.51
한국철강(주),3605,104700,201912,200809,,0,0,0,KOSPI,제조업,1,-3.940500582,1.071632935,-7.506950854,-2.47,-51.94338451,1.37,-0.64,414.4224104,444.45,381.3,20.45,21.19,4.37,10.16,12.33,172.5690467,1.083176001,4.23
동국제강(주),2073,001230,201112,198805,,0,0,0,KOSPI,제조업,1,4.267017404,-2.024229147,6.504144244,0.9,-19.79147187,2.69,1.7,105.2891671,106.97,67.5,222.55,-2.14,-1.69,8.09,9.29,276.006128,1.090871255,1.31
금호타이어(주),1878,073240,201212,200502,,0,0,0,KOSPI,제조업,1,-2.914398523,63.32289279,3.952327423,0.61,102.8485714,7.73,4.51,1034.284186,78.79,44.07,388.92,2.73,2.58,19.6,23.02,124.3374714,6.550720162,0.99
