회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,유보율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,타인자본회전률,순운전자본회전률
(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,1.1648427112096114,6.030962740106674,-0.48888888888888893,-0.6940830541892085,-1.1977186311787071,-1.9712707182320441,-0.5380952380952383,-1.1639344262295082
(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,0.45151536355474037,-0.5405373350699377,-0.5873015873015872,-0.6940830541892085,-1.1977186311787071,-1.531491712707182,0.21904761904761907,-0.9344262295081964
(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,0.8253463396587988,-4.874182993897838,-1.4238095238095239,-0.6940830541892085,0.038022813688212996,-0.11049723756906077,0.23333333333333325,-0.622950819672131
(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,0.9818522084951068,2.856488479067444,-0.38253968253968257,-0.6558442887453182,0.5288973384030419,0.2088397790055248,0.4619047619047619,-0.9672131147540981
(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,0.3718009574023666,-0.3770457227525796,-0.5619047619047619,-0.6048137864223389,0.1958174904942966,-0.25745856353591157,1.1952380952380957,-1.1967213114754096
(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,0.10332760659862213,-4.874182993897838,-1.1063492063492064,-0.6268292183737098,2.543346007604563,-0.014364640883977887,2.7952380952380955,0.918032786885246
(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,-1.3661698878515078,6.030962740106674,-0.6587301587301587,-0.6265699725062934,0.9171102661596959,-0.07071823204419886,2.466666666666667,-0.3114754098360655
(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-0.4004681739002133,-4.874182993897838,-1.8603174603174601,-0.623684156666371,-0.5395437262357414,-0.7370165745856353,1.9619047619047618,-0.45901639344262285
(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,-1.0871441080820927,3.312304184506923,-0.2841269841269842,-0.5477182952537539,-0.6623574144486691,-0.9988950276243093,-0.30952380952380965,-0.7377049180327866
(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,3.922669333258433,1.426178974940889,-0.43333333333333335,-0.6940830541892085,-0.4623574144486692,1.8651933701657455,-0.8476190476190478,-1.2295081967213113
(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,0.07153444852526135,-0.5485986383610746,-0.34920634920634924,-0.07389189447328741,-0.5475285171102661,-0.6441988950276243,-0.804761904761905,-1.0327868852459015
(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-1.2193585317741593,2.1826404042989065,0.5793650793650793,0.0007095150055602719,0.07946768060836508,0.5204419889502762,-0.7380952380952384,-0.9508196721311473
(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,0.010063433668400476,0.28272748465262426,1.4285714285714284,0.08960355849064337,1.0950570342205324,1.2817679558011046,-0.24761904761904768,-0.26229508196721296
(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-0.28662755950698915,0.053103007876854805,1.779365079365079,0.18227031157259913,4.26615969581749,2.1447513812154693,0.41904761904761906,0.42622950819672134
(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,0.7319481343696147,1.150102663044706,-0.1555555555555556,0.2154674271212112,-0.41863117870722427,1.0209944751381212,-0.8476190476190478,-1.2295081967213113
(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,0.8621189508146224,2.225671832466038,0.24126984126984116,-0.6940830541892085,-0.33802281368821285,-0.6298342541436462,1.6333333333333337,2.3442622950819674
(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,-0.15790275469758225,2.653449004255532,2.341269841269841,-0.6810593604813786,1.6269961977186311,-0.016574585635359056,2.123809523809524,2.3442622950819674
(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,-0.4554795009357707,0.06279696742905186,2.509523809523809,-0.6720062219008179,3.3574144486692012,0.5093922651933701,2.7952380952380955,2.3442622950819674
(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,-0.08983601425728871,0.02943816128050781,2.4761904761904754,-0.6566424931265733,2.809505703422053,0.16685082872928184,2.7952380952380955,2.081967213114754
(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,-0.5794599491522234,-0.10210196569237599,0.38888888888888873,0.20613457589422776,-0.261977186311787,-0.0740331491712707,-0.44761904761904775,-0.5081967213114753
(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,1.2866236783183638,-0.3364819702055456,0.028571428571428522,0.2522939848136501,-0.03193916349809885,0.22541436464088396,-0.342857142857143,-0.21311475409836048
(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,-0.01238191810965634,0.23216759734436643,0.12698412698412695,0.3146289714079098,-0.12965779467680602,0.16464088397790047,-0.4142857142857144,-0.442622950819672
(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-0.1823474772180724,0.09827379256078238,0.17936507936507934,0.367324105090088,-0.08745247148288969,0.19005524861878448,-0.44761904761904775,-0.5573770491803276
(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,1,-0.8973315061788888,-0.3781249584737769,-0.5365079365079365,0.23351912620498175,-0.43269961977186305,-0.44309392265193365,-0.4571428571428573,-0.7704918032786883
