,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,매출액증가율,종업원수증가율,매출액정상영업이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,수지비율,자기자본구성비율,CASH FLOW 대 총자본비율,총자본투자효율,순운전자본회전률
33,(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,14.98935662,-1.8,2.41,4.16,6.57,0.77,98.0,62.307196,3.13,13.57,2.27
34,(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,11.97438295,2.75,1.13,2.1,3.36,0.65,99.59,62.57224245,2.4,14.0,2.36
35,(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,6.556925846,19.57313536,3.57,2.77,6.0,9.55,0.52,97.71,62.99194659,2.31,18.86,2.66
36,(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,0.228489815,-0.431038523,20.69,9.21,19.23,27.66,0.34,90.96,76.06657643,13.86,33.51,2.64
37,(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,4.315747045,-6.266970193,4.29,10.6,20.29,26.1,0.09,91.94,79.33314148,21.37,31.5,2.6
38,(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,7.763107375,0.903853572,1.37,11.04,20.08,24.63,-0.07,89.41,83.61310459,14.59,32.85,2.4
39,(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,0.661449466,-13.86592358,0.0,7.54,11.35,13.39,-0.1,93.35,85.94016507,10.33,23.24,1.95
40,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-2.400691212,5.41,1.14,1.7,1.97,-0.11,98.53,86.07927729,7.93,16.27,1.95
41,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-23.28239559,1.28,-2.22,-2.55,-3.06,-0.2,102.32,80.21659328,8.62,11.1,1.54
42,(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,19.08811364,11.74,12.7,9.42,17.4,-0.29,84.89,54.34303724,6.72,17.28,0.84
