,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,자기자본정상영업이익률,자기자본순이익률,금융비용부담률,사내유보 대 자기자본비율,1주당순이익,1주당 CASH FLOW,유보율,부채비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,설비투자효율,노동소득분배율,종업원1인당부가가치율_계산,순운전자본회전률,유동비율,당좌자산회전률
25,(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,7.04,16.85,5.07,82.42,1004.033429,873.4357143,939.04,182.66,0.87,0.72,0.97,18.55,40.05949384,-75.62221774,0.5,57.37,2.07
26,(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,17.72,-0.38,2.46,82.1,-27.53842705,699.2214976,1048.39,62.03,5.62,17.21,11.51,31.73,38.67303873,208.1232075,0.55,90.87,1.87
27,(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,20.04,14.06,1.17,84.97,1054.22045,1813.921371,1178.69,36.47,12.69,43.92,18.4,44.99,26.63980529,350.0610638,0.97,109.55,2.48
28,(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,19.55,13.41,0.6,86.9,1103.836186,1659.658176,1314.52,13.77,29.41,121.58,26.21,46.21,28.31500723,392.6251163,1.39,257.95,2.96
29,(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,9.53,10.42,-1.46,90.08,583.8656664,452.2434427,1410.23,368.17,3.46,1.98,14.99,3.65,38.05332824,310.0485417,0.34,51.15,1.11
30,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,1.24,-0.93,5.3,90.82,-1630.871532,-1527.360478,1355.58,380.62,0.1,-1.14,-5.45,4.32,35.78520565,320.945,0.34,51.15,1.42
31,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,9.16,-0.88,5.3,90.82,-1023.516486,1540.813301,1277.63,388.92,0.73,0.01,0.06,5.62,30.96013195,108.437234,0.34,51.15,3.39
32,(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,19.75,11.49,5.3,90.82,515.3906078,2573.11501,1363.18,388.92,1.29,4.11,16.04,11.5,22.02879444,205.4540741,0.38,51.15,3.5
33,(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,6.57,3.31,0.77,4.5,16.15512027,52.25331551,18.83,60.5,2.82,8.32,1.9,44.34,59.35306122,130.4706422,2.27,147.77,4.8
34,(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,3.36,0.61,0.65,6.05,1.897193583,-7.699526588,18.83,59.82,1.72,6.4,1.28,45.27,70.259756,117.5369643,2.36,171.22,5.14
35,(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,9.55,7.35,0.52,12.26,41.45108937,53.53362135,23.54,58.75,5.3,6.23,1.1,66.7,57.97240075,161.4256897,2.53,168.09,5.56
36,(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,27.66,21.7,0.34,26.39,150.5583726,222.6870176,49.06,31.46,26.68,57.91,6.65,122.0,35.16254844,241.4039286,2.53,291.69,4.94
37,(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,26.1,14.62,0.09,31.84,113.2861496,221.6185629,62.33,26.05,84.87,103.42,11.41,112.7,45.24632793,239.0107534,2.53,399.36,4.21
38,(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,24.63,18.66,-0.07,39.53,162.2177984,105.1445227,84.85,19.6,210.93,89.01,8.31,130.53,38.24387805,266.2941892,2.4,673.11,3.39
39,(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,13.39,9.21,-0.1,40.46,88.888442,127.8424185,90.76,16.36,162.17,73.48,6.88,94.63,50.02467638,184.1913514,1.95,1057.37,2.68
40,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,1.97,2.21,-0.11,39.13,18.29738091,46.81270776,87.25,16.17,22.72,56.94,5.29,67.41,75.98243207,127.2395513,1.95,1062.09,2.8
41,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,-3.06,-2.84,-0.2,35.02,-27.80414243,144.6976537,76.79,24.66,-21.04,43.59,7.56,44.32,107.577529,82.02468354,1.54,1062.09,2.16
42,(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,17.4,15.9,-0.29,20.24,858.747719,633.5605473,1075.2,84.02,20.93,14.71,9.7,74.79,33.45089233,185.7798054,0.84,130.69,1.8
43,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,14.12,10.81,-0.95,17.53,663.0876992,452.3649279,1205.3,69.63,15.51,12.07,7.01,59.15,41.96925117,165.4670909,0.85,140.97,1.78
44,(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,11.9,10.11,-1.49,14.48,689.1403708,414.6669795,1349.5,73.34,16.58,8.23,6.13,62.56,38.70562658,159.2655235,0.82,81.19,1.96
45,(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,8.1,6.7,0.53,11.14,492.0871895,1184.249229,1417.16,74.3,8.48,14.28,8.84,30.95,54.55637683,114.8911475,1.0,105.96,2.81
46,(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,9.42,7.29,0.44,14.09,565.5841643,352.6441275,1508.53,82.25,14.66,11.71,8.29,34.11,52.02996624,163.8898649,0.86,102.82,2.43
47,(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,9.98,6.85,0.42,12.76,556.4340634,1211.818906,1585.77,73.81,16.75,12.82,8.52,33.07,51.45748802,149.7325817,0.79,113.8,2.15
48,(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,4.86,5.36,0.37,8.35,443.380858,-328.1269936,1643.73,58.27,10.1,9.16,5.57,25.07,60.24502511,109.5472459,0.75,115.32,1.9
