,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,유동비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,노동소득분배율
29,(주)SNT홀딩스,36530,201412,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-5.108346682,-1.333292015,-1.52208437,0.0,-22.75182731,3.2,3.13,-0.24,70.78,208.24,13.86,6.1,59.10541609
30,(주)SNT홀딩스,36530,201512,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.370655606,12.77307699,3.889017186,0.0,146.5975508,5.53,7.68,-0.28,72.73,263.0,16.84,6.68,43.88689703
31,(주)SNT홀딩스,36530,201612,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.883875307,0.107472354,-4.653343476,0.0,-55.25201112,0.46,3.3,-0.3,72.56,247.45,19.44,8.59,65.42289175
32,(주)SNT홀딩스,36530,202012,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.511469219,-0.516871344,-5.049873056,-10.0,0.640743452,3.46,5.64,-0.43,77.06,269.15,26.84,12.21,49.39128789
33,(주)STX,11810,201312,199009,,1,1,1,도매 및 소매업,1,-19.85291941,-26.87745177,-37.25156403,-28.87,-134.1164185,-16.92,-9.98,3.01,0.0,62.06,10.3,7.79,0.0
34,(주)TCC스틸,2710,201312,198412,,1,0,1,제조업,1,-0.604258967,-8.964950568,-0.1006749,-2.51,-230.532425,-3.66,-1.42,2.24,41.41,141.27,-5.0,-3.38,100.605043
35,(주)가비아,79940,201312,200510,,0,0,0,정보통신업,0,7.023066528,16.3795734,2.342114784,8.06,-7.696337593,10.77,7.97,-2.61,79.33,249.42,57.53,18.42,51.85906385
36,(주)가비아,79940,201412,200510,,0,0,0,정보통신업,0,8.015646473,10.07208766,13.80460418,8.33,19.18224544,7.12,8.83,-0.32,79.74,258.29,63.03,18.05,55.4201535
37,(주)가비아,79940,201512,200510,,0,0,0,정보통신업,0,6.634083479,11.37131491,13.94540537,6.07,35.38728866,8.38,11.15,-0.42,81.04,395.42,84.54,19.36,54.92115711
38,(주)가비아,79940,201612,200510,,0,0,0,정보통신업,0,19.71343442,14.09778365,11.48992289,2.29,10.5749851,8.82,10.87,-0.36,82.65,295.5,62.2,18.17,58.27443668
39,(주)가비아,79940,202012,200510,,0,0,0,정보통신업,0,30.06717252,28.33782898,13.98321998,7.58,20.25832179,10.33,12.41,-0.29,86.22,244.16,50.12,25.74,48.46402049
40,(주)강원랜드,35250,201312,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,6.721867694,6.141140325,5.022050284,14.86,-4.156014781,9.91,12.92,-2.61,11.69,189.47,74.52,29.22,39.79571704
41,(주)강원랜드,35250,201412,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,8.803584759,7.453677967,9.935809491,-1.8,32.24675992,11.1,15.85,-2.61,12.46,219.66,69.79,29.22,32.30880889
42,(주)강원랜드,35250,201512,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,9.352670699,10.80809917,9.166161006,0.81,16.02354386,12.5,16.85,-2.49,15.17,263.38,78.31,29.22,29.3702341
43,(주)강원랜드,35250,201612,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.808507152,8.505439456,3.844954676,0.25,3.899205631,11.85,16.13,-2.29,13.99,251.71,80.65,29.22,29.9242168
44,(주)강원랜드,35250,202012,200309,,0,1,1,"예술, 스포츠 및 여가관련 서비스업",0,-17.94650054,-12.66167297,-37.25156403,-27.86,-186.1181601,-6.83,-9.98,-2.61,0.0,454.03,-16.38,-11.04,163.5949843
