,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,1주당순이익,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,총자본투자효율,자기자본회전률,순운전자본회전률
26,(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-22.36308992,15.04430493,-21.24779744,3.92,190.5516122,8.13,2.46,-27.53842705,90.87,68.77,62.03,17.21,11.51,13.21,0.992838635,0.55
27,(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-7.644589125,9.652951927,2.863033378,-11.32,26.84050306,13.48,1.17,1054.22045,109.55,92.01,36.47,43.92,18.4,20.83,0.91054169,0.97
28,(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,9.842964973,-2.95552733,-8.51,7.054292129,15.69,0.6,1103.836186,257.95,185.46,13.77,121.58,26.21,23.63,0.805113075,1.39
29,(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,78.27578096,68.03111037,6.299170553,11.63,-31.64573325,2.84,-1.46,583.8656664,51.15,41.69,368.17,1.98,14.99,2.84,0.609991407,0.34
30,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-14.27578638,40.05363551,4.17,-84.86820585,0.26,5.3,-1630.871532,51.15,33.02,380.62,-1.14,-5.45,3.83,0.73374488,0.34
31,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,-13.31695475,11.10431097,-6.0,537.4432098,1.76,5.3,-1023.516486,51.15,33.02,388.92,0.01,0.06,5.0,0.946098025,0.34
32,(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,1.305491938,17.02028807,14.89,101.5802193,3.5,5.3,515.3906078,51.15,33.02,388.92,4.11,16.04,10.06,1.184438162,0.38
33,(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,3.08790843,14.98935662,-1.8,23.48991936,4.16,0.77,16.15512027,147.77,115.16,60.5,8.32,1.9,13.57,2.654861677,2.27
34,(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,-0.553511841,11.97438295,2.75,-47.59504828,2.1,0.65,1.897193583,171.22,123.05,59.82,6.4,1.28,14.0,2.981015117,2.36
35,(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,6.556925846,7.271657822,19.57313536,3.57,194.259531,6.0,0.52,41.45108937,168.09,134.09,58.75,6.23,1.1,18.86,3.449012887,2.53
