,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본순이익률,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,당좌비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
67,(주)경방,50,201212,195603,,0,0,0,도매 및 소매업,1,-1.27812549,-1.429271596,-4.169505485,-2.36,-67.30722888,-0.59,0.54,1.16,5.93,0.15,42.91,0.36,0.22,0.47,130.4741105
68,(주)경방,50,201712,195603,,0,0,0,도매 및 소매업,1,-2.140601305,2.837517291,-4.412897886,-12.37,-2.595363828,1.97,3.28,6.14,1.78,3.69,33.38,6.35,10.95,17.44,217.4026441
69,(주)경방,50,201812,195603,,0,0,0,도매 및 소매업,1,2.178154161,1.378172567,-2.591495439,-8.15,-3.14229528,1.57,3.18,5.82,2.26,4.12,37.34,5.13,5.9,9.95,191.7747835
70,(주)경방,50,201912,195603,,0,0,0,도매 및 소매업,1,5.296514762,4.625461321,-2.147411809,-31.65,-21.86255597,3.26,2.4,4.42,2.52,2.87,121.4,3.59,6.28,11.48,311.5045174
71,(주)경보제약,214390,201712,201506,,0,0,0,제조업,1,0.556317544,9.356288302,2.643016777,-1.44,57.66507054,8.79,12.03,18.15,0.51,61.63,103.8,24.47,40.35,13.34,171.4966341
72,(주)경보제약,214390,201812,201506,,0,0,0,제조업,1,8.177694708,5.301809356,5.051733585,9.76,-29.77255664,6.15,8.1,11.89,0.44,62.82,108.83,19.43,16.99,6.13,153.0973778
73,(주)경보제약,214390,201912,201506,,0,0,0,제조업,1,7.30689031,0.101561507,-4.786547569,9.78,-64.1267999,2.3,2.7,4.15,0.67,62.57,73.81,4.77,12.71,5.88,128.4420243
74,(주)경인양행,12610,201112,199510,,0,0,0,제조업,1,5.67178615,2.040767234,-17.08158922,29.9,-45.54721588,0.9,1.98,3.61,1.4,65.41,66.12,1.77,0.33,0.21,67.81293651
75,(주)경인양행,12610,201212,199510,,0,0,0,제조업,1,-10.05775418,-0.739578233,-6.21651728,-2.91,-42.68561246,0.69,1.2,2.07,1.24,64.89,80.65,1.26,13.62,7.01,81.5773297
76,(주)경인양행,12610,201712,199510,,0,0,0,제조업,1,3.965441152,1.268278105,9.136523905,6.38,-30.37088994,1.36,2.1,3.51,0.75,64.84,77.25,3.12,8.28,4.06,76.2383559
77,(주)경인양행,12610,201812,199510,,0,0,0,제조업,1,15.37781616,6.079813247,10.37185158,19.73,167.3687679,3.58,5.11,9.06,0.97,65.04,70.7,5.68,1.9,1.09,91.90100162
78,(주)경인양행,12610,201912,199510,,0,0,0,제조업,1,14.30627167,6.110920497,8.366114998,-0.32,19.6224429,3.7,5.32,10.21,1.36,65.4,57.44,4.66,1.84,1.2,95.34367909
79,(주)고려시멘트,198440,201812,201408,,0,0,0,제조업,1,10.05786164,11.77977786,-2.149836946,1.82,27.17180189,3.82,3.15,4.68,-0.49,41.21,154.43,9.2,5.96,2.85,170.0990179
80,(주)고려시멘트,198440,201912,201408,,0,0,0,제조업,1,-0.393031557,2.236035706,-17.31718659,-13.39,-111.9770542,2.67,-0.36,-0.53,-0.22,42.34,141.61,-1.08,5.95,3.24,167.0939175
81,(주)고영테크놀러지,98460,201112,200806,,0,0,0,제조업,1,26.06068668,26.16660991,20.9571866,22.73,0.012960672,18.05,20.79,30.17,-0.49,67.98,329.07,3543.84,67.32,13.59,171.1048765
82,(주)고영테크놀러지,98460,201212,200806,,0,0,0,제조업,1,18.78689543,19.79004528,25.20684062,24.69,13.93332957,15.99,20.79,28.03,-0.55,71.76,385.1,1627.45,63.41,11.73,141.3369307
83,(주)고영테크놀러지,98460,201712,200806,,0,0,0,제조업,1,5.169167615,2.574968725,18.37946274,7.94,31.83540756,13.36,20.79,27.46,-0.17,90.73,430.73,3543.84,56.02,12.09,171.7920588
84,(주)고영테크놀러지,98460,201812,200806,,0,0,0,제조업,1,35.98898305,40.01400942,17.13157024,20.0,5.107352973,17.47,18.99,23.75,-0.47,82.56,484.7,3543.84,39.2,8.75,186.2376471
85,(주)고영테크놀러지,98460,201912,200806,,0,0,0,제조업,1,9.468143553,7.881592908,-6.780532706,15.93,-27.51433585,10.11,11.4,14.2,-0.57,85.1,493.22,112.96,41.2,11.47,155.317759
86,(주)골드앤에스,35290,201112,199912,,0,0,0,정보통신업,0,3.678874897,-1.559648915,-5.871718808,-9.04,294.9893732,2.19,2.82,5.88,1.03,-21.34,94.83,1.13,36.32,18.53,91.04881988
87,(주)골드앤에스,35290,201212,199912,,0,0,0,정보통신업,0,11.29773444,13.7318335,-7.646234414,-2.48,-279.9431809,-13.11,-4.73,-9.72,1.68,-41.42,116.04,-1.91,21.01,12.65,50.27993631
88,(주)골드퍼시픽,38530,201112,200006,,0,0,0,도매 및 소매업,1,19.32716441,3.881209027,4.840897721,48.62,122.9968956,3.92,6.82,8.05,-2.56,6.96,446.04,14.16,14.46,7.26,75.16355932
89,(주)골드퍼시픽,38530,201212,200006,,0,0,0,도매 및 소매업,1,8.692078773,5.032944988,-6.637732298,18.64,-57.88844654,0.89,2.54,3.25,0.33,8.08,354.65,2.66,-20.15,-13.32,70.83057143
90,(주)골프존,215000,201712,201504,,0,0,0,정보통신업,0,34.99372794,56.9697785,-7.770410955,-12.86,-17.57143081,18.05,16.96,24.16,-0.43,59.03,284.03,52.52,89.92,27.93,293.9283607
91,(주)골프존,215000,201812,201504,,0,0,0,정보통신업,0,0.151923887,2.924081211,-0.699695037,48.62,-24.82090873,8.04,11.09,14.66,-0.61,57.56,248.01,37.61,95.76,27.93,129.059383
92,(주)골프존,215000,201912,201504,,0,0,0,정보통신업,0,23.0378572,2.62842681,24.31386117,-15.32,14.69172202,5.72,11.4,16.35,-0.37,59.23,116.02,32.18,32.16,14.65,219.7963819
93,(주)골프존뉴딘홀딩스,121440,201112,201105,,0,0,0,도매 및 소매업,1,80.33282474,102.2831019,17.0831733,0.0,-12.60339332,16.42,19.23,21.28,-3.09,55.49,933.26,1101.46,114.34,27.66,148.8878182
94,(주)골프존뉴딘홀딩스,121440,201212,201105,,0,0,0,도매 및 소매업,1,43.08073923,17.95811652,34.215835,27.95,26.74517366,15.96,15.02,18.14,-1.91,62.01,194.96,31.08,41.54,18.54,192.5151332
95,(주)골프존뉴딘홀딩스,121440,201712,201105,,0,0,0,도매 및 소매업,1,-0.561531678,-5.145885364,-12.13380551,-30.49,-50.21717433,-2.85,2.43,3.58,2.5,33.41,63.78,2.81,2.88,3.44,-55.51412281
96,(주)골프존뉴딘홀딩스,121440,201812,201105,,0,0,0,도매 및 소매업,1,2.411416671,-2.983109179,4.341333034,-31.65,-93.95183368,-0.98,0.15,0.23,2.8,34.75,33.38,0.15,-3.69,-4.78,344.5559649
97,(주)골프존뉴딘홀딩스,121440,201912,201105,,0,0,0,도매 및 소매업,1,0.211858679,-7.978347077,2.644787754,-26.32,-425.3756178,-4.49,-0.47,-0.78,3.97,29.47,90.62,-0.36,-2.2,-3.17,-88.28790698
98,(주)광림,14200,201112,199307,,0,0,0,제조업,1,-23.45652093,-0.643898279,13.97860677,4.74,98.44261495,2.63,5.35,9.43,1.04,38.54,102.38,4.55,12.77,3.56,78.88266332
99,(주)광림,14200,201212,199307,,0,0,0,제조업,1,3.952406962,12.04219743,-19.88142338,-2.51,-74.892094,0.67,1.5,2.2,0.71,34.19,123.09,1.71,27.86,8.58,52.99257732
100,(주)광명전기,17040,201112,199009,,0,0,0,제조업,1,13.80608365,4.551859147,-0.431385618,13.64,-87.55941736,-1.52,0.41,0.81,0.92,22.77,110.69,0.38,8.19,5.4,48.70897143
101,(주)광명전기,17040,201212,199009,,0,0,0,제조업,1,5.79387856,0.089139615,26.88155396,2.29,692.7769383,0.32,3.29,6.65,0.6,20.07,108.82,3.63,3.82,2.22,43.64530726
102,(주)광명전기,17040,201712,199009,,0,0,0,제조업,1,3.988729513,-1.443086388,4.763884179,-5.47,-39.23375046,-1.36,1.47,2.26,0.15,49.12,152.9,5.78,9.94,5.49,46.38152632
103,(주)광명전기,17040,201812,199009,,0,0,0,제조업,1,-0.585409732,2.172960845,12.356589,1.05,48.22029591,1.79,2.14,3.33,0.64,52.44,161.92,3.61,2.67,1.24,81.96979167
104,(주)광명전기,17040,201912,199009,,0,0,0,제조업,1,3.220580655,6.734807283,15.5582668,1.04,145.1511213,4.61,5.18,7.82,-0.05,55.57,175.5,21.67,16.25,6.32,101.6181959
105,(주)광무,29480,201112,199608,,0,1,1,제조업,1,-25.11427013,-16.52423621,-35.5196456,3.4,-368.8016653,-20.27,-11.54,-25.24,6.45,-103.31,78.43,-3.01,22.2,16.35,-88.28790698
106,(주)광주신세계,37710,201112,200202,,0,0,0,도매 및 소매업,1,14.98002391,17.6372217,3.06076421,-0.96,11.70967637,14.77,16.63,20.64,-3.09,15.68,386.78,153.8925,82.68,26.56,261.8523226
107,(주)광주신세계,37710,201212,200202,,0,0,0,도매 및 소매업,1,13.10801472,16.56956368,-2.645711957,-5.81,-1.206850899,13.25,14.34,17.32,-3.09,14.8,429.24,153.8925,82.79,26.74,270.3094178
108,(주)광주신세계,37710,201712,200202,,0,0,0,도매 및 소매업,1,-0.073799083,8.436173297,-0.368891143,-4.13,0.432455633,7.3,8.59,10.11,-3.09,8.14,37.15,86.86,67.03,24.19,228.1333046
109,(주)광주신세계,37710,201812,200202,,0,0,0,도매 및 소매업,1,6.287758496,7.127280255,-35.50438126,-2.3,-11.05163946,6.67,7.41,8.34,-3.09,7.0,100.09,715.98,69.6,27.93,218.7081471
110,(주)광주신세계,37710,201912,200202,,0,0,0,도매 및 소매업,1,8.074939199,6.530686603,14.54451965,-31.65,10.05383831,6.58,7.61,8.6,-3.09,7.12,132.65,193.26,70.26,27.93,487.7442529
111,(주)구영테크,53270,201112,200202,,0,0,0,제조업,1,17.15983448,60.08027859,-1.80262006,-5.91,-16.68400045,-0.44,3.53,14.11,3.38,38.55,41.77,0.96,3.77,2.88,84.84445026
112,(주)구영테크,53270,201212,200202,,0,0,0,제조업,1,7.822031155,0.146388812,5.382228507,13.09,45.14395092,1.05,4.82,20.43,3.39,41.31,41.13,1.29,5.37,4.29,73.12314815
113,(주)구영테크,53270,201712,200202,,0,0,0,제조업,1,12.15075051,-3.408169059,1.032868176,6.69,31.20573278,0.77,3.22,10.02,1.49,45.12,53.8,2.37,9.45,8.27,63.85630363
114,(주)구영테크,53270,201812,200202,,0,0,0,제조업,1,8.32218244,23.32308226,30.30365395,-6.6,-5.490222331,3.04,2.76,8.63,1.82,43.34,38.86,1.47,3.28,2.25,85.95865724
115,(주)구영테크,53270,201912,200202,,0,0,0,제조업,1,1.973068273,4.179062803,18.24180496,-12.37,-2.597088719,1.66,2.56,7.46,1.69,43.7,40.02,1.33,4.05,2.37,96.65330645
116,(주)국동,5320,201112,199612,,0,0,0,도매 및 소매업,1,14.10389247,102.2831019,2.524443596,-10.39,-56.73825997,-11.32,1.79,0.0,1.43,-112.34,38.5,0.5,0.62,0.25,-30.67942029
