회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,매출액증가율,정상영업손익증가율,총자본정상영업이익률,자기자본순이익률,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,순운전자본회전률
(주)CMG제약,58820,201112,200108,,0,0,0,제조업,1,2.476438584625847,6.243662807216118,-0.32307692307692304,-1.3906249999999998,-1.276305683563748,-2.248186946011281,-0.43548387096774177
(주)CMG제약,58820,201312,200108,,0,0,0,제조업,1,1.0147363206694566,6.243662807216118,-0.47230769230769226,-0.509765625,-1.276305683563748,-2.131077088369594,-1.1451612903225805
(주)CMG제약,58820,201412,200108,,0,0,0,제조업,1,0.3526955717842653,-0.5112825729030823,-0.5676923076923076,-0.55078125,-1.2094854070660523,-1.4380875637926402,-0.9193548387096772
(주)CMG제약,58820,201512,200108,,0,0,0,제조업,1,0.6996489588793532,-5.497345634351675,-1.3784615384615386,-1.326171875,0.0904377880184332,-0.05640612409347304,-0.6129032258064514
(주)CMG제약,58820,201612,200108,,0,0,0,제조업,1,0.8449024150239339,2.7713818285153278,-0.3692307692307692,-0.353515625,0.5862135176651306,0.25409615901154975,-0.9516129032258063
(주)CMG제약,58820,201712,200108,,0,0,0,제조업,1,1.0370074569857402,-0.12828187554815082,-0.4707692307692307,-0.3037109375,0.3419738863287251,0.0016116035455277656,-1.0806451612903225
(주)CMG제약,58820,202012,200108,,0,0,0,제조업,1,0.2787124484404655,-0.3532949316401988,-0.543076923076923,-0.5703125,0.24980798771121349,-0.19930163846360466,-1.1774193548387095
(주)DB하이텍,990,201112,197512,,1,1,1,제조업,1,-1.1966891769620573,0.9314347469676054,-1.2015384615384614,-3.2910156249999996,-0.30318740399385563,0.33789954337899547,-0.661290322580645
(주)ES큐브,50120,201112,200204,,0,0,0,도매 및 소매업,1,2.367656558205978,-5.497345634351675,-1.7000000000000002,-1.8134765625,-0.266705069124424,-0.4560838033843674,-0.06451612903225776
(주)ES큐브,50120,201312,200204,,0,0,0,도매 및 소매업,1,0.02954171524740168,-5.497345634351675,-1.0707692307692307,-4.5341796875,2.620775729646698,0.03706688154713937,0.903225806451613
(주)ES큐브,50120,201412,200204,,0,0,0,도매 및 소매업,1,-1.3343022827558526,6.243662807216118,-0.6369230769230769,-0.46972656250000006,0.9783026113671276,-0.017727639000805803,-0.3064516129032257
(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-0.43803230515595165,-5.497345634351675,-1.8015384615384618,-0.4296875,-0.4928955453149002,-0.6655922643029815,-0.45161290322580633
(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,-1.07533781601541,3.2118524259498535,-0.2738461538461538,2.1845703124999996,-0.6169354838709679,-0.9202256244963739,-0.725806451612903
(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.00849749937693767,0.02865848826322609,-0.36,-0.3466796875,-0.32238863287250386,-0.14558152027934465,-0.758064516129032
(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,3.809725834629099,1.3892239206576462,-0.41846153846153844,-4.4287109375,-0.41493855606758834,1.8646253021756647,-1.258064516129032
(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-0.6356757355834143,-0.5841990654142624,-0.45999999999999996,-1.0771484375,-0.5666282642089094,-0.8697287134031695,-0.9838709677419353
(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,-1.0063228353320384,-0.7997877319614628,-0.6184615384615384,-1.533203125,-0.4279953917050691,-0.10475423045930705,-1.2419354838709675
(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,3.441225458713483e-05,-0.5190724911405955,-0.33692307692307694,1.0634765625,-0.5009600614439325,-0.5753424657534246,-1.0161290322580643
(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-1.198046326157755,2.1202189560398605,0.5630769230769233,-0.619140625,0.13229646697388633,0.5570776255707761,-0.9354838709677417
(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-0.05701697774799973,0.28426690611365424,1.3861538461538463,0.7910156250000001,1.158026113671275,1.297340854149879,-0.25806451612903214
(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-0.3323765696030996,0.062372773761422785,1.726153846153846,0.7275390625,4.212941628264209,2.1364491001880204,0.41935483870967744
(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,0.10559597372730795,-0.37163192695812713,-0.25076923076923074,0.435546875,-0.4525729646697389,0.9309696481332257,-1.258064516129032
(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,0.6129658701439119,1.1224417615804663,-0.1492307692307692,0.5400390625,-0.37077572964669747,1.0437818963201717,-1.2096774193548385
(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,0.5168533634223123,0.24669150243592472,-0.04769230769230763,-0.2587890625,-0.2091013824884793,-0.47542304593070106,1.838709677419355
(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,0.7337777037089209,2.1618017243540035,0.23538461538461541,0.13574218749999997,-0.2893625192012289,-0.561375235025517,2.258064516129032
(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,-0.21290678275658104,2.5751777098201027,2.270769230769231,1.5371093749999998,1.6952764976958525,0.034918076819769016,2.258064516129032
(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,-0.4890884440626147,0.07174038462806788,2.433846153846154,0.845703125,3.442972350230415,0.5463336019339242,2.258064516129032
