,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,사내유보 대 자기자본비율,유동비율,당좌비율,이자보상배율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,재고자산대순운전자본비율,종업원1인당부가가치율_계산,당좌자산회전률
25,(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,15.64399285,4.068573283,-1.92,-44.79294932,2.28,5.07,82.42,57.37,40.78,0.87,0.72,0.97,-38.91907509,-75.62221774,2.07
26,(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-22.36308992,15.04430493,-21.24779744,3.92,190.5516122,8.13,2.46,82.1,90.87,68.77,5.62,17.21,11.51,-241.9316167,208.1232075,1.87
27,(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-7.644589125,9.652951927,2.863033378,-11.32,26.84050306,13.48,1.17,84.97,109.55,92.01,12.69,43.92,18.4,183.6212964,350.0610638,2.48
28,(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,9.842964973,-2.95552733,-8.51,7.054292129,15.69,0.6,86.9,257.95,185.46,29.41,121.58,26.21,45.89207382,392.6251163,2.96
29,(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,78.27578096,68.03111037,6.299170553,11.63,-31.64573325,2.84,-1.46,90.08,51.15,41.69,3.46,1.98,14.99,-5.335214014,310.0485417,1.11
30,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-14.27578638,40.05363551,4.17,-84.86820585,0.26,5.3,90.82,51.15,33.02,0.1,-1.14,-5.45,-5.86347243,320.945,1.42
31,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,-13.31695475,11.10431097,-6.0,537.4432098,1.76,5.3,90.82,51.15,33.02,0.73,0.01,0.06,-3.275407124,108.437234,3.39
32,(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,1.305491938,17.02028807,14.89,101.5802193,3.5,5.3,90.82,51.15,33.02,1.29,4.11,16.04,-7.709118423,205.4540741,3.5
33,(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,3.08790843,14.98935662,-1.8,23.48991936,4.16,0.77,4.5,147.77,115.16,2.82,8.32,1.9,68.27316507,130.4706422,4.8
34,(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,-0.553511841,11.97438295,2.75,-47.59504828,2.1,0.65,6.05,171.22,123.05,1.72,6.4,1.28,67.63899015,117.5369643,5.14
35,(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,6.556925846,7.271657822,19.57313536,3.57,194.259531,6.0,0.52,12.26,168.09,134.09,5.3,6.23,1.1,49.93309537,161.4256897,5.56
36,(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,0.228489815,21.03194923,-0.431038523,20.69,231.1201021,19.23,0.34,26.39,291.69,224.49,26.68,57.91,6.65,35.05700085,241.4039286,4.94
37,(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,4.315747045,8.795430361,-6.266970193,4.29,7.889598239,20.29,0.09,31.84,399.36,329.69,84.87,103.42,11.41,23.27170641,239.0107534,4.21
38,(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,7.763107375,13.57684568,0.903853572,1.37,5.015146943,20.08,-0.07,39.53,673.11,580.63,210.93,89.01,8.31,16.13730526,266.2941892,3.39
39,(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,0.661449466,3.46298736,-13.86592358,0.0,-41.15662483,11.35,-0.1,40.46,1057.37,816.13,162.17,73.48,6.88,25.19837753,184.1913514,2.68
40,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-2.138086884,-2.400691212,5.41,-85.18771344,1.7,-0.11,39.13,1062.09,940.6,22.72,56.94,5.29,28.13395368,127.2395513,2.8
41,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-6.064011679,-23.28239559,1.28,-249.053849,-2.55,-0.2,35.02,1062.09,887.83,-21.04,43.59,7.56,22.03406348,82.02468354,2.16
42,(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,30.34391494,19.08811364,11.74,18.41861158,9.42,-0.29,20.24,130.69,108.07,20.93,14.71,9.7,73.71498705,185.7798054,1.8
43,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,11.19897057,4.637518481,7.0,-7.880603224,8.0,-0.95,17.53,140.97,117.58,15.51,12.07,7.01,57.09740249,165.4670909,1.78
44,(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,11.16256187,-8.698414966,0.73,-6.319362055,6.93,-1.49,14.48,81.19,62.03,16.58,8.23,6.13,-101.9307436,159.2655235,1.96
45,(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,5.512201318,4.929441837,27.8983174,10.11,-26.51534583,4.66,0.53,11.14,105.96,76.17,8.48,14.28,8.84,500.0638409,114.8911475,2.81
46,(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,10.70698041,5.879098316,2.422845961,-2.95,22.48387432,5.28,0.44,14.09,102.82,69.62,14.66,11.71,8.29,502.4439383,163.8898649,2.43
47,(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-1.174925271,3.624312421,-0.910436635,3.38,10.94655434,5.61,0.42,12.76,113.8,84.21,16.75,12.82,8.52,214.4259929,149.7325817,2.15
48,(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-8.784458112,0.170358502,-13.64390495,-0.33,-50.36145424,2.93,0.37,8.35,115.32,85.28,10.1,9.16,5.57,196.0746752,109.5472459,1.9
49,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.27578096,80.64191091,32.74267069,44.64,-12.88556978,1.92,0.5,17.66,135.98,87.82,4.07,5.64,4.54,133.843675,189.48468,1.96
50,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,1.416586295,40.48147167,-1.8,9.329672564,1.64,0.35,15.52,131.76,91.59,3.47,15.72,8.7,126.4836825,103.31222,2.14
51,(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,1,8.559551973,5.16566483,-14.93235868,-1.43,-30.10362597,1.1,0.6,18.28,141.82,88.93,2.64,3.74,2.79,126.4750844,142.1464256,1.73
52,(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,9.49985093,-3.661690281,-8.657168282,2.22,-183.0175364,-2.49,0.15,76.67,151.52,135.46,-9.21,-14.12,-8.38,-16.06388016,-27.57027174,1.58
53,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,14.14136286,18.11849479,5.98,143.5955237,5.32,-0.27,72.32,182.56,162.88,77.44,4.27,2.03,-19.68152128,-20.0574359,1.68
54,(주)SNT에너지,100840,201312,200802,,0,0,0,제조업,1,6.445735983,8.105755924,-12.98465446,7.18,11.0463951,5.56,-0.56,74.22,197.1,177.76,50.81,20.6,11.65,-19.34265656,172.9437321,1.31
55,(주)SNT에너지,100840,201412,200802,,0,0,0,제조업,1,-2.298373815,4.818130776,20.91940132,4.31,-18.01169455,4.47,-0.31,75.09,222.54,199.37,41.09,-2.4,-0.96,-23.16495805,146.4270642,1.54
56,(주)SNT에너지,100840,201512,200802,,0,0,0,제조업,1,3.837053075,11.40395236,7.146191304,6.42,146.181537,10.93,-0.18,77.63,286.28,269.65,359.1,-13.31,-4.34,-16.63309944,231.4545259,1.6
57,(주)SNT에너지,100840,201612,200802,,0,0,0,제조업,1,10.07167717,-0.691604331,-2.308449238,-6.03,-96.47637586,0.36,-0.09,77.51,207.24,200.61,389.0242857,15.74,7.32,-6.634530319,96.55591743,1.34
58,(주)SNT에너지,100840,201712,200802,,0,1,1,제조업,1,-13.72696557,1.748375357,-27.54850128,-10.55,594.6717064,5.92,-0.1,78.47,351.97,347.24,389.0242857,22.15,8.0,-4.731239242,116.3751282,0.98
59,(주)SNT홀딩스,36530,201112,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.886024318,7.591926828,11.02629503,0.0,0.091018683,5.79,-0.01,70.91,174.28,128.31,16.87,9.54,4.66,61.8918597,-75.62221774,2.25
60,(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.349571484,0.535114109,0.294729128,0.0,-28.88774228,4.08,-0.11,71.43,184.89,132.96,20.28,9.53,4.32,61.17236327,685.3952381,2.25
61,(주)SNT홀딩스,36530,201312,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.579555216,4.274764453,-5.53596676,-11.11,-1.044982685,4.01,-0.19,70.47,188.1,133.44,30.38,9.78,4.8,62.04396417,685.3952381,2.13
62,(주)SNT홀딩스,36530,201412,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-5.108346682,-1.333292015,-1.52208437,0.0,-22.75182731,3.13,-0.24,70.78,208.24,148.81,34.38,13.86,6.1,54.90367272,685.3952381,2.11
63,(주)SNT홀딩스,36530,201512,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.370655606,12.77307699,3.889017186,0.0,146.5975508,7.68,-0.28,72.73,263.0,201.03,218.55,16.84,6.68,38.01578705,685.3952381,2.04
64,(주)SNT홀딩스,36530,201612,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.883875307,0.107472354,-4.653343476,0.0,-55.25201112,3.3,-0.3,72.56,247.45,198.81,286.46,19.44,8.59,32.98459307,685.3952381,1.67
65,(주)SNT홀딩스,36530,201712,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.895851587,-0.757692402,-1.921580134,-12.5,-16.11155647,2.78,-0.3,72.48,264.63,216.54,178.66,19.79,8.22,29.21484461,629.3057143,1.55
66,(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.506883918,-1.054283563,-7.084474287,42.86,19.81125792,3.41,-0.48,73.84,306.08,248.36,59.79,19.09,8.32,28.00784661,685.3952381,1.46
67,(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.811450601,8.159352782,7.907406791,0.0,73.81535328,5.81,-0.61,75.51,312.26,255.6,184.05,17.86,7.21,26.69340713,685.3952381,1.52
68,(주)SNT홀딩스,36530,202012,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.511469219,-0.516871344,-5.049873056,-10.0,0.640743452,5.64,-0.43,77.06,269.15,222.26,152.96,26.84,12.21,27.71777185,685.3952381,1.39
69,(주)STX,11810,201112,199009,,0,0,0,도매 및 소매업,1,-22.36308992,-31.51271657,-38.67458151,-30.12,-45.16695439,4.14,2.05,39.81,70.06,54.61,1.66,-0.52,-0.29,-51.57022036,604.1530612,4.01
70,(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-3.19335903,-21.36301621,3.21981614,-4.34,-275.105282,-7.98,1.78,37.31,62.81,55.08,-3.12,4.3,2.49,-20.77521038,245.7466667,5.1
71,(주)STX,11810,201312,199009,,1,1,1,도매 및 소매업,1,-22.36308992,-31.51271657,-38.67458151,-30.12,-134.1164185,-10.89,3.01,0.0,62.06,54.71,-10.71,10.3,7.79,-19.39419428,-75.62221774,2.45
72,(주)TCC스틸,2710,201112,198412,,0,0,0,제조업,1,42.93297362,41.81268227,16.27230507,-2.78,-27.43072417,2.63,1.36,45.48,110.8,62.71,1.41,-6.46,-2.87,445.0932198,150.4366667,4.91
73,(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,20.40027424,0.246987287,-2.543926198,1.27,-48.04523837,1.19,1.78,43.11,113.94,61.44,0.57,-2.31,-1.48,376.6029093,138.7078683,4.52
74,(주)TCC스틸,2710,201312,198412,,1,0,1,제조업,1,-0.604258967,-8.964950568,-0.1006749,-2.51,-230.532425,-1.42,2.24,41.41,141.27,66.03,-0.59,-5.0,-3.38,182.2952632,119.2485209,4.54
75,(주)가비아,79940,201112,200510,,0,0,0,정보통신업,0,27.48236786,36.62566069,29.67804843,23.23,23.63744105,13.88,-0.44,77.31,207.38,207.27,22.28,61.1,18.83,0.096774716,78.62586387,2.03
76,(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,31.23739501,21.12267188,30.69573941,10.47,-6.856484807,10.15,-2.91,0.0,215.35,213.68,15.43,43.49,16.56,1.449658755,82.08246445,2.28
77,(주)가비아,79940,201312,200510,,0,0,0,정보통신업,0,7.023066528,16.3795734,2.342114784,8.06,-7.696337593,7.97,-2.91,79.33,249.42,248.8,15.81,57.53,18.42,0.41768112,73.94438596,2.05
78,(주)가비아,79940,201412,200510,,0,0,0,정보통신업,0,8.015646473,10.07208766,13.80460418,8.33,19.18224544,8.83,-0.32,79.74,258.29,258.29,24.59,63.03,18.05,0.0,78.66740891,2.03
79,(주)가비아,79940,201512,200510,,0,0,0,정보통신업,0,6.634083479,11.37131491,13.94540537,6.07,35.38728866,11.15,-0.42,81.04,395.42,395.42,64.83,84.54,19.36,0.0,85.64938931,1.95
80,(주)가비아,79940,201612,200510,,0,0,0,정보통신업,0,19.71343442,14.09778365,11.48992289,2.29,10.5749851,10.87,-0.36,82.65,295.5,288.81,83.64,62.2,18.17,3.421749183,86.31679104,1.84
81,(주)가비아,79940,201712,200510,,0,0,0,정보통신업,0,6.030227139,4.111102986,13.73958056,2.61,1.298068675,9.81,-0.28,83.08,224.87,219.17,53.72,57.21,16.48,4.563735757,82.95625455,1.88
82,(주)가비아,79940,201812,200510,,0,0,0,정보통신업,0,13.53843992,14.30577361,10.7646865,1.82,43.07917217,12.77,-0.28,84.14,262.0,255.35,62.3,56.79,16.44,4.107065129,88.59203571,1.83
83,(주)가비아,79940,201912,200510,,0,0,0,정보통신업,0,32.00968327,18.19082721,15.20910244,-1.07,30.50368396,13.51,0.03,85.34,201.58,195.45,34.25,45.28,19.83,6.038122983,106.8301805,1.85
84,(주)가비아,79940,202012,200510,,0,0,0,정보통신업,0,30.06717252,28.33782898,13.98321998,7.58,20.25832179,12.41,-0.29,86.22,244.16,238.12,58.63,50.12,25.74,4.18879128,104.7991611,1.65
85,(주)강원랜드,35250,201112,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,3.866238169,7.469802391,-3.683470629,2.14,-13.66902279,18.36,-2.91,17.36,263.97,263.46,1142.61,99.17,28.6,0.310686891,249.0287059,1.13
86,(주)강원랜드,35250,201212,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.201202725,5.079568924,2.410138672,1.24,-17.1272683,14.41,-2.91,12.44,224.82,224.59,565.68,80.84,28.6,0.185547941,217.9085835,1.11
87,(주)강원랜드,35250,201312,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,6.721867694,6.141140325,5.022050284,14.86,-4.156014781,12.92,-2.91,11.69,189.47,189.21,1421.81,74.52,28.6,0.292699162,225.4613809,1.21
88,(주)강원랜드,35250,201412,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,8.803584759,7.453677967,9.935809491,-1.8,32.24675992,15.85,-2.91,12.46,219.66,219.47,2073.72,69.79,28.6,0.161234238,250.6071039,1.22
89,(주)강원랜드,35250,201512,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,9.352670699,10.80809917,9.166161006,0.81,16.02354386,16.85,-2.49,15.17,263.38,263.14,2623.81,78.31,28.6,0.149347543,276.6015608,1.05
90,(주)강원랜드,35250,201612,200309,,0,0,0,"예술, 스포츠 및 여가관련 서비스업",0,7.808507152,8.505439456,3.844954676,0.25,3.899205631,16.13,-2.29,13.99,251.71,251.53,836.02,80.65,28.6,0.120070479,286.0012565,0.95
