,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,매출액순이익률,총자본정상영업이익률,자기자본순이익률,금융비용부담률,유동비율,당좌비율,부채비율,CASH FLOW 대 부채비율,CASH FLOW 대 매출액비율,종업원1인당부가가치율_계산
11,(주)ES큐브,50120,201512,200204,,0,0,0,도매 및 소매업,1,-1.751499457,0.053133214,-5.188114571,44.44,-488.7035721,-5.47,-7.24,1.56,-0.54,765.67,639.55,12.01,0.93,0.13,160.5933333
12,(주)ES큐브,50120,201612,200204,,0,0,0,도매 및 소매업,1,78.12143123,44.39009507,-18.65487191,-23.08,287.8921316,24.5,2.69,28.33,-0.61,1062.63,944.43,46.68,-2.3,-2.24,672.0003333
13,(주)ES큐브,50120,201712,200204,,0,0,0,도매 및 소매업,1,0.69177729,1.563205887,4.247404846,16.67,4.048002791,4.86,2.13,2.41,1.01,1062.63,944.43,45.42,5.37,4.97,127.8877143
14,(주)ES큐브,50120,202012,200204,,0,0,0,도매 및 소매업,1,54.08478725,-6.132879872,84.57029349,-20.0,125.3690776,-31.35,1.75,-39.39,4.05,61.5,59.7,395.35,2.96,23.68,-75.62221774
15,(주)HJ중공업,97230,201112,200708,,0,0,0,건설업,1,-7.11947049,-7.519747157,-9.364472804,-19.81,-50.60025987,-3.35,1.48,-5.07,5.14,96.33,81.81,276.93,-0.99,-1.77,130.7116697
16,(주)MH에탄올,23150,201112,199612,,0,0,0,제조업,1,4.630769807,0.229277913,-17.1965321,-3.77,-69.82421494,-9.73,0.45,-9.74,5.14,58.36,45.92,214.54,2.62,5.35,238.3558824
17,(주)MH에탄올,23150,201312,199612,,0,0,0,제조업,1,-3.488371946,15.64399285,4.068573283,-1.92,-44.79294932,11.3,2.28,16.85,5.07,57.37,40.78,182.66,0.72,0.97,-75.62221774
18,(주)MH에탄올,23150,201412,199612,,0,0,0,제조업,1,-23.18877172,15.04430493,-21.24779744,3.92,190.5516122,-0.41,8.13,-0.38,2.46,90.87,68.77,62.03,17.21,11.51,208.1232075
19,(주)MH에탄올,23150,201512,199612,,0,0,0,제조업,1,-7.644589125,9.652951927,2.863033378,-11.32,26.84050306,15.44,13.48,14.06,1.17,109.55,92.01,36.47,43.92,18.4,350.0610638
20,(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,9.842964973,-2.95552733,-8.51,7.054292129,16.66,15.69,13.41,0.6,257.95,185.46,13.77,123.47,26.21,392.6251163
21,(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,78.12143123,68.03111037,6.299170553,11.63,-31.64573325,8.29,2.84,10.42,-1.46,50.76,41.69,368.17,1.98,14.99,310.0485417
22,(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,1.305491938,17.02028807,14.89,101.5802193,4.02,3.5,11.49,5.14,50.76,32.91,395.35,4.11,16.04,205.4540741
23,(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,3.08790843,14.98935662,-1.8,23.48991936,1.04,4.16,3.31,0.77,147.77,115.16,60.5,8.32,1.9,130.4706422
