,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,자기자본증가율,매출액증가율,종업원수증가율,정상영업손익증가율,총자본정상영업이익률,금융비용부담률,수지비율,유보율,자기자본구성비율,유동비율,이자보상배율,CASH FLOW 대 총자본비율,순운전자본회전률
28,(주)MH에탄올,23150,201612,199612,,0,0,0,제조업,1,-8.4262173,9.842964973,-2.95552733,-8.51,7.054292129,15.69,0.6,78.78,1314.52,87.8935173,257.95,29.41,17.71,1.39
29,(주)MH에탄올,23150,201712,199612,,0,0,0,제조업,1,591.4326057,68.03111037,6.299170553,11.63,-31.64573325,2.84,-1.46,88.65,1410.23,21.35977561,44.64,3.46,1.56,0.34
30,(주)MH에탄올,23150,201812,199612,,0,0,0,제조업,1,-11.99619191,-14.27578638,40.05363551,4.17,-84.86820585,0.26,14.97,112.24,1355.58,20.80648561,20.96,0.1,-0.9,0.33
31,(주)MH에탄올,23150,201912,199612,,0,0,0,제조업,1,2.566448174,-13.31695475,11.10431097,-6.0,537.4432098,1.76,12.76,105.78,1277.63,17.58440081,11.62,0.73,0.01,0.33
32,(주)MH에탄올,23150,202012,199612,,0,0,0,제조업,1,-0.397605002,1.305491938,17.02028807,14.89,101.5802193,3.5,12.52,94.65,1363.18,17.8850757,25.82,1.29,3.38,0.38
33,(주)SH에너지화학,2360,201112,198512,,0,0,0,제조업,1,14.4585072,3.08790843,14.98935662,-1.8,23.48991936,4.16,0.77,98.0,15.02,62.307196,147.77,2.82,3.13,2.27
34,(주)SH에너지화학,2360,201212,198512,,0,0,0,제조업,1,-0.974751969,-0.553511841,11.97438295,2.75,-47.59504828,2.1,0.65,99.59,14.69,62.57224245,171.22,1.72,2.4,2.36
35,(주)SH에너지화학,2360,201312,198512,,0,0,0,제조업,1,6.556925846,7.271657822,19.57313536,3.57,194.259531,6.0,0.52,97.71,23.54,62.99194659,168.09,5.3,2.31,2.66
36,(주)SH에너지화학,2360,201412,198512,,0,0,0,제조업,1,0.228489815,21.03194923,-0.431038523,20.69,231.1201021,19.23,0.34,90.96,49.06,76.06657643,291.69,26.68,13.86,2.64
37,(주)SH에너지화학,2360,201512,198512,,0,0,0,제조업,1,4.315747045,8.795430361,-6.266970193,4.29,7.889598239,20.29,0.09,91.94,62.33,79.33314148,399.36,84.87,21.37,2.6
38,(주)SH에너지화학,2360,201612,198512,,0,0,0,제조업,1,7.763107375,13.57684568,0.903853572,1.37,5.015146943,20.08,-0.07,89.41,84.85,83.61310459,673.11,210.93,14.59,2.4
39,(주)SH에너지화학,2360,201712,198512,,0,0,0,제조업,1,0.661449466,3.46298736,-13.86592358,0.0,-41.15662483,11.35,-0.1,93.35,90.76,85.94016507,1057.37,162.17,10.33,1.95
40,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,-2.138086884,-2.400691212,5.41,-85.18771344,1.7,-0.11,98.53,87.25,86.07927729,1287.95,22.72,7.93,1.95
41,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,-6.064011679,-23.28239559,1.28,-249.053849,-2.55,-0.2,102.32,76.79,80.21659328,1110.48,-24.12,8.62,1.54
42,(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,30.34391494,19.08811364,11.74,18.41861158,9.42,-0.29,84.89,1075.2,54.34303724,130.69,20.93,6.72,0.84
43,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,11.19897057,4.637518481,7.0,-7.880603224,8.0,-0.95,82.16,1205.3,58.95239649,140.97,15.51,4.96,0.85
44,(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,11.16256187,-8.698414966,0.73,-6.319362055,6.93,-1.49,86.97,1349.5,57.69038318,81.19,16.58,3.48,0.82
45,(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,5.512201318,4.929441837,27.8983174,10.11,-26.51534583,4.66,0.53,94.06,1417.16,57.37175067,105.96,8.48,6.09,1.0
46,(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,10.70698041,5.879098316,2.422845961,-2.95,22.48387432,5.28,0.44,92.04,1508.53,54.86979418,102.82,14.66,5.29,0.86
47,(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-1.174925271,3.624312421,-0.910436635,3.38,10.94655434,5.61,0.42,92.06,1585.77,57.53443355,113.8,16.75,5.44,0.79
