,회사명,거래소코드,회계년도,상장일,상장폐지일_x,부실기업1,부실기업2,부실기업,업종,경기민감도,총자본증가율,종업원수증가율,총자본정상영업이익률,자기자본정상영업이익률,금융비용부담률,수지비율,CASH FLOW 대 총자본비율,총자본투자효율,순운전자본회전률
40,(주)SH에너지화학,2360,201812,198512,,0,0,0,제조업,1,-2.296240954,5.41,1.7,1.97,-0.11,98.53,7.93,16.27,1.95
41,(주)SH에너지화학,2360,201912,198512,,0,1,1,제조업,1,0.801363601,1.28,-2.55,-3.06,-0.2,102.32,8.62,11.1,1.54
42,(주)SIMPAC,9160,201112,198907,,0,0,0,제조업,1,26.19510961,11.74,9.42,17.4,-0.29,84.89,6.72,17.28,0.84
43,(주)SIMPAC,9160,201212,198907,,0,0,0,제조업,1,2.504565694,7.0,8.0,14.12,-0.95,82.16,4.96,13.74,0.85
44,(주)SIMPAC,9160,201312,198907,,0,0,0,제조업,1,13.59431263,0.73,6.93,11.9,-1.49,86.97,3.48,12.74,0.82
45,(주)SIMPAC,9160,201412,198907,,0,0,0,제조업,1,5.512201318,10.11,4.66,8.1,0.53,94.06,6.09,13.54,1.0
46,(주)SIMPAC,9160,201512,198907,,0,0,0,제조업,1,10.70698041,-2.95,5.28,9.42,0.44,92.04,5.29,14.18,0.86
47,(주)SIMPAC,9160,201612,198907,,0,0,0,제조업,1,-1.174925271,3.38,5.61,9.98,0.42,92.06,5.44,14.14,0.79
48,(주)SIMPAC,9160,201712,198907,,0,0,0,제조업,1,-8.784458112,-0.33,2.93,4.86,0.37,95.9,3.37,11.36,0.75
49,(주)SIMPAC,9160,201812,198907,,0,0,0,제조업,1,78.86293087,63.93,1.92,3.02,0.5,80.75,2.04,16.76,0.75
50,(주)SIMPAC,9160,201912,198907,,0,0,0,제조업,1,-0.382099871,-1.8,1.64,2.54,0.35,97.01,5.51,9.64,0.82
51,(주)SIMPAC,9160,202012,198907,,0,0,0,제조업,1,8.559551973,-1.43,1.1,1.72,0.6,89.67,1.39,13.08,0.66
52,(주)SNT에너지,100840,201112,200802,,0,0,0,제조업,1,9.49985093,2.22,-2.49,-4.02,0.15,102.62,-5.92,-1.83,0.91
53,(주)SNT에너지,100840,201212,200802,,0,0,0,제조업,1,5.89131805,5.98,5.32,8.8,-0.27,95.11,1.6,-1.34,0.94
54,(주)SNT에너지,100840,201312,200802,,0,0,0,제조업,1,6.445735983,7.18,5.56,8.81,-0.56,90.16,7.5,11.6,0.77
55,(주)SNT에너지,100840,201412,200802,,0,0,0,제조업,1,-2.298373815,4.31,4.47,6.79,-0.31,93.92,-0.76,10.48,0.93
56,(주)SNT에너지,100840,201512,200802,,0,0,0,제조업,1,3.837053075,6.42,10.93,15.45,-0.18,86.36,-3.57,16.98,1.05
57,(주)SNT에너지,100840,201612,200802,,0,0,0,제조업,1,10.07167717,-6.03,0.36,0.52,-0.09,98.68,5.35,6.05,0.9
58,(주)SNT에너지,100840,201712,200802,,0,1,1,제조업,1,-13.72696557,-10.55,5.92,8.28,-0.1,96.8,4.9,7.56,0.69
59,(주)SNT홀딩스,36530,201112,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.886024318,0.0,5.79,9.31,-0.01,92.91,3.65,14.88,1.06
60,(주)SNT홀딩스,36530,201212,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.349571484,0.0,4.08,6.52,-0.11,95.25,3.48,13.94,1.05
61,(주)SNT홀딩스,36530,201312,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,3.579555216,-11.11,4.01,6.3,-0.19,95.53,3.52,13.37,0.99
62,(주)SNT홀딩스,36530,201412,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-5.108346682,0.0,3.13,4.8,-0.24,95.25,4.64,13.74,1.0
63,(주)SNT홀딩스,36530,201512,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,6.370655606,0.0,7.68,11.2,-0.28,89.46,4.97,17.68,1.06
64,(주)SNT홀딩스,36530,201612,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.883875307,0.0,3.3,4.72,-0.3,97.69,5.98,10.42,0.94
65,(주)SNT홀딩스,36530,201712,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-2.895851587,-12.5,2.78,3.98,-0.3,98.05,5.78,10.27,0.91
66,(주)SNT홀딩스,36530,201812,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,-1.506883918,42.86,3.41,4.81,-0.48,92.95,5.51,13.41,0.88
67,(주)SNT홀딩스,36530,201912,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,5.811450601,0.0,5.81,8.07,-0.61,90.6,4.88,14.32,0.94
68,(주)SNT홀딩스,36530,202012,200210,,0,0,0,"전문, 과학 및 기술 서비스업",0,1.511469219,-10.0,5.64,7.84,-0.43,93.0,7.72,11.94,0.85
69,(주)STX,11810,201112,199009,,0,0,0,도매 및 소매업,1,-78.0164777,-39.04,4.14,13.26,2.05,97.59,-0.33,10.01,1.39
70,(주)STX,11810,201212,199009,,0,0,0,도매 및 소매업,1,-3.19335903,-4.34,-7.98,-24.01,1.78,108.17,3.02,-2.76,1.68
71,(주)STX,11810,201312,199009,,1,1,1,도매 및 소매업,1,-73.50478949,-52.8,-30.01,0.0,3.01,148.06,14.21,-92.75,0.83
72,(주)TCC스틸,2710,201112,198412,,0,0,0,제조업,1,42.93297362,-2.78,2.63,5.07,1.36,98.75,-3.25,11.18,1.55
73,(주)TCC스틸,2710,201212,198412,,0,0,0,제조업,1,20.40027424,1.27,1.19,2.63,1.78,99.86,-1.36,9.11,1.32
74,(주)TCC스틸,2710,201312,198412,,1,0,1,제조업,1,-0.604258967,-2.51,-1.42,-3.59,2.24,104.23,-3.11,7.37,1.27
75,(주)가비아,79940,201112,200510,,0,0,0,정보통신업,0,27.48236786,23.23,13.88,19.05,-0.44,83.57,15.32,39.7,1.41
76,(주)가비아,79940,201212,200510,,0,0,0,정보통신업,0,31.23739501,10.47,10.15,14.16,-5.46,84.5,13.42,36.43,1.54
77,(주)가비아,79940,201312,200510,,0,0,0,정보통신업,0,7.023066528,8.06,7.97,11.03,-3.97,85.09,14.27,35.98,1.42
78,(주)가비아,79940,201412,200510,,0,0,0,정보통신업,0,8.015646473,8.33,8.83,11.63,-0.32,90.17,14.73,34.68,1.45
79,(주)가비아,79940,201512,200510,,0,0,0,정보통신업,0,6.634083479,6.07,11.15,14.22,-0.42,89.16,16.88,39.68,1.48
80,(주)가비아,79940,201612,200510,,0,0,0,정보통신업,0,19.71343442,2.29,10.87,13.94,-0.36,89.16,14.76,36.1,1.4
81,(주)가비아,79940,201712,200510,,0,0,0,정보통신업,0,6.030227139,2.61,9.81,12.98,-0.28,90.55,14.36,36.5,1.32
